,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,25년4Q(E),매출액,영업이익,순익(지배),,,,,,,,,,,,
,HD현대,A267250,265500,209727,,실적발표,187371,19719,4477,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,YOY,9.59,124.55,120.89,,,,,,,,,,,,
,지주사,1.36,166.34,14.30,,QOQ,2.81,15.83,156.40,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,성장점수,수익점수,안정점수,벨류점수,,,,,,,,,,,,
,21.78,2.18,7.45,8.56,,96,67,32,38,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,퀀트점수,65,퀀트상위(%),35,,,,,,,,,,,,
,14.33,0.89,5.30,4.46,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,109.97,3.20,1.27,0.43,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,16년,17년,18년,19년,20년,21년,22년,23년,24년,25년3Q연환산,25년4Q연환산,,분기 손익 요약,24.3Q,24.4Q,25.1Q,25.2Q,25.3Q,25.4Q,
, 매출액,0,142995,272566,266303,189110,283537,608497,613313,677656,696195,712594,, 매출액,165992,170972,170869,172110,182244,187371,
, 영업이익,0,8430,8614,6666,-5971,10366,33870,20316,29832,50058,60996,, 영업이익,4316,8781,12864,11389,17024,19719,
, 지배순익,0,9335,2686,1732,-6092,-1471,14086,2645,5090,7177,9627,, 지배순익,-331,2027,2192,1212,1746,4477,
, OPM(%),0,5.9,3.16,2.5,-3.16,3.66,5.57,3.31,4.4,7.19,8.56,, OPM(%),2.6,5.14,7.53,6.62,9.34,10.52,
, NPM(%),0,6.53,0.99,0.65,-3.22,-0.52,2.31,0.43,0.75,1.03,1.35,, NPM(%),-0.2,1.19,1.28,0.7,0.96,2.39,
, 매출액 증가율(%),0,0,90.61,-2.3,-28.99,49.93,114.61,0.79,10.49,3.32,5.16,, 매출액 증가율(%),20.96,2.3,3.47,-1.96,9.79,9.59,
, 영업이익 증가율(%),0,0,2.18,-22.61,-189.57,273.61,226.74,-40.02,46.84,103.25,104.47,, 영업이익 증가율(%),-35.36,145.35,62.1,29.45,294.44,124.56,
, 지배순익 증가율(%),0,0,-71.23,-35.52,-451.73,75.85,1057.58,-81.22,92.44,184.24,89.14,, 지배순익 증가율(%),-113.76,476.77,7.87,-11.01,627.49,120.87,
, (개별)매출액,0,4652,5793,4927,3759,2538,3472,5831,4376,5212,,, (개별)매출액,843,432,2792,473,1515,0,
, (개별)영업이익,0,2822,3378,2476,3008,2344,3167,4876,3484,4330,,, (개별)영업이익,616,173,2605,259,1293,0,
, (개별)순이익,0,2195,1306,5909,864,5021,2193,7731,2915,3626,,, (개별)순이익,300,198,2619,-257,1066,0,
, (개별)OPM(%),0,60.66,58.31,50.25,80.02,92.36,91.22,83.62,79.62,83.08,,, (개별)OPM(%),73.07,40.05,93.3,54.76,85.35,0,
, 개별/연결순익(%),0,23.51,48.62,341.17,-14.18,-341.33,15.57,292.29,57.27,50.52,,, 개별/연결순익(%),-90.63,9.77,119.48,-21.2,61.05,0,
, 주가상승율(%),0,0,-9.19,-2.31,-16.12,-5.29,6.33,10.86,25.12,103.14,235.23,, 분기 EPS,-419.04,2566.15,2775.03,1534.37,2210.41,5667.81,
,* 연간기준=달력기준. 주가= 수정주가. 주식수=수정주식수.(유증 무증등 모두 반영).  시가총액계산시 보통주로 계산. 데이터값 빈칸은 직전값으로 보정. 당해(내년) 추정치 자기자본= 전년(당해) 자기자본+ 배당성향을 감안한 당해(내년) 지배순이익.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,투자지표1,16년,17년,18년,19년,20년,21년,22년,23년,24년,25년3Q연환산,25년4Q연환산,,,,,,,,,
, 시가총액,0,62052,56352,55049,44789,42419,45105,50003,62563,122755,209727,,,,,,,,,
, 주가,0,76200,69200,67600,56700,53700,57100,63300,79200,155400,265500,,,,,,,,,
, SPS,0,0,334712,327021,239400,358939,770316,776414,857868,881371.06,902131.92,,,,,,,,,
, OPS,0,0,10578,8186,-7559,13123,42877,25718,37765,63372.58,77219.9,,,,,,,,,
, EPS,0,0,3299,2127,-7712,-1862,17832,3348,6444,9085.96,12187.62,,,,,,,,,
, BPS,0,91957,94894,98141,88804,79795,94758,92762,109824,121910.37,,,,,,,,,,
, CPS,0,10009,8204,14804,11230,54,27012,49813,95090,127226,,,,,,,,,,
, DPS,0,0,3700,3700,3700,5550,4600,3700,3600,3600,,,,,,,,,,
, SPS증가율(%),0,0,0,-2.3,-26.79,49.93,114.61,0.79,10.49,3.33,5.16,,,,,,,,,
, OPS증가율(%),0,0,0,-22.62,-192.34,273.6,226.75,-40.02,46.84,103.25,104.47,,,,,,,,,
, EPS증가율(%),0,0,0,-35.51,-462.52,75.85,1057.44,-81.22,92.46,184.2,89.13,,,,,,,,,
, BPS증가율(%),0,0,3.19,3.42,-9.51,-10.15,18.75,-2.11,18.39,13.24,,,,,,,,,,
, CPS증가율(%),0,0,-18.03,80.45,-24.15,-99.52,49591.34,84.41,90.9,78.08,,,,,,,,,,
, DPS증가율(%),0,0,0,0,0,50,-17.12,-19.57,-2.7,0,,,,,,,,,,
, 주가상승률(%),0,0,-9.19,-2.31,-16.12,-5.29,6.33,10.86,25.12,103.14,235.23,,,,,,,,,
, 주식수증가율(%),0,0,0,0,-3,0,0,0,0,0,0,,,,,,,,,
, 자본증가율(%),0,0,3.19,3.42,-12.23,-10.15,18.75,-2.11,18.39,13.23,,,,,,,,,,
, 자산증가율(%),0,0,11.77,10.14,3.28,34.71,83.27,3.68,8.65,13.2,,,,,,,,,,
, 영업현금증가율(%),0,0,-18.02,80.45,-26.42,-99.52,49523.26,84.41,90.89,78.08,,,,,,,,,,
, 설비투자증가율(%),0,0,23.5,39.93,77.5,-11.73,0.74,6.51,-17.63,3.5,,,,,,,,,,
, FCF증가율(%),0,0,-335.42,82.03,-3217.54,-47.1,108.62,996.49,214.33,113.89,,,,,,,,,,
, ROIC증가율(%),0,0,0,-33.2,-205.76,154.61,336.97,-37.95,45.21,720.68,,,,,,,,,,
, ROE증가율(%),0,0,0,-37.64,-500,73.16,907.73,-80.82,62.6,151.02,,,,,,,,,,
, ROA증가율(%),0,0,0,-41.74,-441.79,82.1,624.39,-81.86,76.92,151.09,,,,,,,,,,
, OPM증가율(%),0,0,-46.39,-20.79,-226.14,215.79,52.25,-40.49,32.9,96.71,94.44,,,,,,,,,
, NPM증가율(%),0,0,-84.9,-34,-595.31,83.9,546.2,-81.37,74.17,175.1,79.86,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,투자지표2,16년,17년,18년,19년,20년,21년,22년,23년,24년,25년3Q연환산,25년4Q연환산,,,,,,,,,
, PSR,0,0,0.21,0.21,0.24,0.15,0.07,0.08,0.09,0.18,0.29,,,,,,,,,
, POR,0,0,6.54,8.26,-7.5,4.09,1.33,2.46,2.1,2.45,3.44,,,,,,,,,
, PER,0,0,20.98,31.78,-7.35,-28.83,3.2,18.91,12.29,17.1,21.79,,,,,,,,,
, EV/EBITDA,0,0,8.93,8.49,72.01,8.78,3.78,4.93,3.13,7.51,,,,,,,,,,
, PBR,0,0.83,0.73,0.69,0.64,0.67,0.6,0.68,0.72,1.27,,,,,,,,,,
, PCR,0,7.61,8.43,4.57,5.05,987.79,2.11,1.27,0.83,1.22,,,,,,,,,,
, PRR,0,0,67.39,63.97,52.93,24.74,13.19,12.18,14.08,25.75,,,,,,,,,,
, PEG,0,0,0,-0.9,0.02,-0.38,0,-0.23,0.13,0.09,0.24,,,,,,,,,
, ROE,0,0,3.48,2.17,-8.68,-2.33,18.82,3.61,5.87,7.45,,,,,,,,,,
, ROA,0,0,1.15,0.67,-2.29,-0.41,2.15,0.39,0.69,0.93,,,,,,,,,,
, ROIC,0,0,5,3.34,-3.54,1.93,8.44,5.24,7.6,11.25,,,,,,,,,,
, 배당성향(%),0,0,112.17,173.93,-47.98,-297.99,25.8,110.51,55.87,39.62,29.54,,,,,,,,,
, 연간 배당률(%),0,0,5.35,5.47,6.53,10.34,8.06,5.85,4.55,2.32,1.36,,,,,,,,,
, 차입률(%),0,62.67,74.61,72.78,97.99,128.08,85.07,85.79,64.41,176.47,,,,,,,,,,
, 부채비율(%),0,106.78,121.22,116.38,139.32,201.88,181.86,192.63,179.96,499.66,,,,,,,,,,
, 당좌비율(%),0,69.31,52.59,75.52,79.34,64.38,78.63,79.44,79.13,86.12,,,,,,,,,,
, 유동비율(%),0,119.89,102.59,123.85,127.03,115.99,114.68,112.45,110.08,116.21,,,,,,,,,,
, 영업이익/차입금(%),0,0,10.94,7.71,-5.49,6.83,17.11,10.19,17.55,29.46,,,,,,,,,,
, 매출채권회전일수,0,0,36.38,35.37,38.55,45.67,30.88,33.79,31.5,33.1,,,,,,,,,,
, 재고자산회전일수,0,0,57.98,53.14,58.33,77.65,56.81,56.04,53.9,52.97,,,,,,,,,,
, 매입채무회전일수,0,79.74,48.11,48.37,58.59,70.41,47.17,49.55,54.69,54.14,,,,,,,,,,
, 현금회전일수,0,-79.74,46.25,40.14,38.29,52.91,40.52,40.28,30.71,31.94,,,,,,,,,,
, 주식수 (만주),0,8143,8143,8143,7899,7899,7899,7899,7899,7899,7899,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익계산서,16년,17년,18년,19년,20년,21년,22년,23년,24년,25년3Q연환산,25년4Q연환산,,분기 손익계산서,24.3Q,24.4Q,25.1Q,25.2Q,25.3Q,25.4Q,
, 매출액,0,142995,272566,266303,189110,283537,608497,613313,677656,696195,712594,, 매출액,165992,170972,170869,172110,182244,187371,
, -매출원가,0,0,253604,248006,183413,257363,548831,563660,613387,608389,,, -매출원가,152841,152864,148959,150604,155962,0,
, =매출총이익,0,0,18962,18297,5697,26174,59666,49653,64269,87806,,, =매출총이익,13151,18108,21910,21506,26282,0,
, -판관비,0,0,10348,11631,11668,15808,25796,29337,34437,37747,,, -판관비,8835,9326,9046,10117,9258,0,
, *연구비,0,0,836,861,846,1715,3418,4107,4444,4767,,, *연구비,1056,1355,1025,1148,1239,0,
, =영업이익,0,8430,8614,6666,-5971,10366,33870,20316,29832,50058,60996,, =영업이익,4316,8781,12864,11389,17024,19719,
