,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,25년4Q(E),매출액,영업이익,순익(지배),,,,,,,,,,,,
,고려아연,A010130,1593000,332506,,실적발표,47699,4285,2092,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,YOY,39.77,256.36,184.09,,,,,,,,,,,,
,아연,0.47,82.36,27.89,,QOQ,14.67,56.74,189.73,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,성장점수,수익점수,안정점수,벨류점수,,,,,,,,,,,,
,42.90,3.04,7.09,7.43,,94,75,52,22,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,퀀트점수,70,퀀트상위(%),30,,,,,,,,,,,,
,21.29,1.54,7.29,8.24,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,109.08,10.80,3.04,0.94,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,16년,17년,18년,19년,20년,21년,22년,23년,24년,25년3Q연환산,25년4Q연환산,,분기 손익 요약,24.3Q,24.4Q,25.1Q,25.2Q,25.3Q,25.4Q,
, 매출액,58475,65967,68833,66948,75819,99768,112194,97045,120529,152307,165879,, 매출액,32067,34127,38328,38254,41598,47699,
, 영업이익,7647,8948,7647,8053,8974,10961,9192,6599,7235,9237,12319,, 영업이익,1500,1203,2711,2589,2734,4285,
, 지배순익,5924,6290,5274,6329,5730,8068,7806,5273,1909,3170,7750,, 지배순익,1563,-2488,1625,3311,722,2092,
, OPM(%),13.08,13.56,11.11,12.03,11.84,10.99,8.19,6.8,6,6.06,7.43,, OPM(%),4.68,3.53,7.07,6.77,6.57,8.98,
, NPM(%),10.13,9.54,7.66,9.45,7.56,8.09,6.96,5.43,1.58,2.08,4.67,, NPM(%),4.87,-7.29,4.24,8.66,1.74,4.39,
, 매출액 증가율(%),22.55,12.81,4.34,-2.74,13.25,31.59,12.45,-13.5,24.2,37.78,37.63,, 매출액 증가율(%),39.84,41.34,61.35,25.09,29.72,39.77,
, 영업이익 증가율(%),13.76,17.01,-14.54,5.31,11.44,22.14,-16.14,-28.21,9.64,15.28,70.27,, 영업이익 증가율(%),-6.48,-39.24,46.94,-3.65,82.27,256.19,
, 지배순익 증가율(%),16.3,6.18,-16.15,20,-9.46,40.8,-3.25,-32.45,-63.8,-49.65,305.97,, 지배순익 증가율(%),102.72,-231.09,52.15,87.38,-53.81,184.08,
, (개별)매출액,50448,54524,55277,52188,56521,71625,80814,72911,80890,97176,105342,, (개별)매출액,20293,22584,23886,24614,26092,30750,
, (개별)영업이익,6884,7612,6475,7292,7808,9246,9314,7074,8139,9611,11796,, (개별)영업이익,1792,1867,2727,2665,2352,4052,
, (개별)순이익,5375,5306,4606,5671,5613,7540,6562,5856,4292,5072,7717,, (개별)순이익,1951,-1041,2055,3281,777,1604,
, (개별)OPM(%),13.65,13.96,11.71,13.97,13.81,12.91,11.53,9.7,10.06,9.89,11.2,, (개별)OPM(%),8.83,8.27,11.42,10.83,9.01,13.18,
, 개별/연결순익(%),90.73,84.36,87.33,89.6,97.96,93.46,84.06,111.06,224.83,160,99.57,, 개별/연결순익(%),124.82,41.84,126.46,99.09,107.62,76.67,
, 주가상승율(%),1.28,3.79,-12.27,-1.73,-5.53,27.27,10.37,-11.7,102.01,33.87,58.35,, 분기 EPS,7550.72,-12019.32,7850.24,16538.46,3733.2,10023.96,
,* 연간기준=달력기준. 주가= 수정주가. 주식수=수정주식수.(유증 무증등 모두 반영).  시가총액계산시 보통주로 계산. 데이터값 빈칸은 직전값으로 보정. 당해(내년) 추정치 자기자본= 전년(당해) 자기자본+ 배당성향을 감안한 당해(내년) 지배순이익.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,투자지표1,16년,17년,18년,19년,20년,21년,22년,23년,24년,25년3Q연환산,25년4Q연환산,,,,,,,,,
, 시가총액,89633,93029,81613,80198,75763,96426,112028,104125,208275,178151,332506,,,,,,,,,
, 주가,475000,493000,432500,425000,401500,511000,564000,498000,1006000,921000,1593000,,,,,,,,,
, SPS,309884,349585,364776,354786,401798,528711,564833,464140,582174,787523.27,794820.32,,,,,,,,,
, OPS,40524,47417,40526,42678,47556,58089,46275,31563,34945,47761.12,59027.31,,,,,,,,,
, EPS,31395,33336,27950,33541,30363,42755,39299,25217,9222,16390.9,37134.64,,,,,,,,,
, BPS,292340,315862,331214,355878,369358,403163,455251,449109,354226,402440.54,524087.21,,,,,,,,,
, CPS,36073,42226,47076,36707,24193,32161,39358,39260,24915,-19925,-30097,,,,,,,,,
, DPS,8500,10000,11000,14000,15000,20000,20000,15000,17500,17500,17500,,,,,,,,,
, SPS증가율(%),22.55,12.81,4.35,-2.74,13.25,31.59,6.83,-17.83,25.43,47.49,36.53,,,,,,,,,
, OPS증가율(%),13.76,17.01,-14.53,5.31,11.43,22.15,-20.34,-31.79,10.71,23.41,68.91,,,,,,,,,
, EPS증가율(%),16.3,6.18,-16.16,20.01,-9.48,40.81,-8.08,-35.83,-63.43,-46.1,302.67,,,,,,,,,
, BPS증가율(%),8.65,8.05,4.86,7.45,3.79,9.15,12.92,-1.35,-21.13,-9.26,47.95,,,,,,,,,
, CPS증가율(%),-27.96,17.06,11.49,-22.03,-34.09,32.94,22.38,-0.25,-36.54,-162.9,-220.8,,,,,,,,,
, DPS증가율(%),0,17.65,10,27.27,7.14,33.33,0,-25,16.67,0,0,,,,,,,,,
, 주가상승률(%),1.28,3.79,-12.27,-1.73,-5.53,27.27,10.37,-11.7,102.01,33.87,58.35,,,,,,,,,
, 주식수증가율(%),0,0,0,0,0,0,5.25,5.29,-1,-6.57,0.82,,,,,,,,,
, 자본증가율(%),8.65,8.04,4.86,7.45,3.79,9.15,18.86,3.84,-21.9,-15.23,49.15,,,,,,,,,
, 자산증가율(%),24.2,8.57,2.67,8.51,8.4,17.23,21.42,-0.43,22.8,15.63,37.88,,,,,,,,,
, 영업현금증가율(%),0,17.06,11.48,-22.02,-34.1,32.95,28.82,5,-37.17,-158.77,-221.79,,,,,,,,,
, 설비투자증가율(%),0,169.38,-36.38,13.25,84.89,-29.95,-19.58,12.23,165.96,-20.31,-20.1,,,,,,,,,
, FCF증가율(%),0,-39.58,90.86,-41.54,-161.46,169.6,185.67,-1.59,-248.5,-225.29,-154.01,,,,,,,,,
, ROIC증가율(%),0,-0.2,-13.68,1.97,-7.83,9.21,0.87,-41.76,-21.03,-7.48,47.13,,,,,,,,,
, ROE증가율(%),0,-1.77,-20,11.61,-12.74,28.95,-18.58,-34.88,-53.74,-40.6,172.2,,,,,,,,,
, ROA증가율(%),0,-2.19,-18.34,10.55,-16.48,20.18,-20.37,-32.09,-70.55,-56.46,194.44,,,,,,,,,
, OPM증가율(%),-7.17,3.72,-18.1,8.27,-1.6,-7.18,-25.43,-17,-11.72,-16.33,23.72,,,,,,,,,
, NPM증가율(%),-5.11,-5.88,-19.64,23.38,-20.06,7,-13.96,-21.9,-70.85,-63.46,194.98,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,투자지표2,16년,17년,18년,19년,20년,21년,22년,23년,24년,25년3Q연환산,25년4Q연환산,,,,,,,,,
, PSR,1.53,1.41,1.19,1.2,1,0.97,1,1.07,1.73,1.17,2,,,,,,,,,
, POR,11.72,10.4,10.67,9.96,8.44,8.8,12.19,15.78,28.79,19.29,26.99,,,,,,,,,
, PER,15.13,14.79,15.47,12.67,13.22,11.95,14.35,19.75,109.08,56.2,42.9,,,,,,,,,
, EV/EBITDA,0,0,0,0,0,0,0,0,21.54,19.26,24.48,,,,,,,,,
, PBR,1.62,1.56,1.31,1.19,1.09,1.27,1.24,1.11,2.84,2.29,3.04,,,,,,,,,
, PCR,13.17,11.68,9.19,11.58,16.6,15.89,14.33,12.68,40.38,-46.22,-52.93,,,,,,,,,
, PRR,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
, PEG,0.93,2.39,-0.96,0.63,-1.39,0.29,-1.78,-0.55,-1.72,-1.22,0.14,,,,,,,,,
, ROE,10.74,10.55,8.44,9.42,8.22,10.6,8.63,5.62,2.6,4.07,7.09,,,,,,,,,
, ROA,9.14,8.94,7.3,8.07,6.74,8.1,6.45,4.38,1.29,2.01,3.8,,,,,,,,,
, ROIC,15.42,15.39,13.28,13.54,12.48,13.63,13.75,8.01,6.32,7.32,9.12,,,,,,,,,
, 배당성향(%),27.07,30,39.36,41.74,49.4,46.78,50.89,59.48,189.76,106.77,47.13,,,,,,,,,
, 연간 배당률(%),1.79,2.03,2.54,3.29,3.74,3.91,3.55,3.01,1.74,1.9,1.1,,,,,,,,,
, 차입률(%),0.85,0.55,0.48,0.6,1.93,5.77,11.37,9.6,65.46,66.23,54.49,,,,,,,,,
, 부채비율(%),14.48,15.27,13.36,14.66,19.93,28.83,31.05,24.93,94.75,99.42,84.22,,,,,,,,,
, 당좌비율(%),314.95,381.61,497.35,431.96,238.09,157.01,139.95,154.19,59.48,52.04,95.45,,,,,,,,,
, 유동비율(%),539.25,605.05,736.56,652.86,439.27,321.32,261.78,292.81,118.86,147.23,196.97,,,,,,,,,
, 영업이익/차입금(%),1591.9,2650.72,2504.49,1978.56,656.83,245.78,87.56,71.28,14.55,17.92,20.67,,,,,,,,,
, 매출채권회전일수,22.37,20.14,16.92,20.96,21.54,19.45,21.28,22.24,26.16,25.46,25.06,,,,,,,,,
, 재고자산회전일수,75.15,74.99,68.3,84.82,108.32,106.43,91.92,99.21,114.48,123.36,136.88,,,,,,,,,
, 매입채무회전일수,22.98,24.3,20.51,26.63,38.76,42.98,36.45,39.91,55.84,48.49,57.45,,,,,,,,,
, 현금회전일수,74.54,70.83,64.71,79.15,91.1,82.9,76.75,81.54,84.8,100.34,104.49,,,,,,,,,
, 주식수 (만주),1887,1887,1887,1887,1887,1887,1986,2091,2070,1934,2087,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익계산서,16년,17년,18년,19년,20년,21년,22년,23년,24년,25년3Q연환산,25년4Q연환산,,분기 손익계산서,24.3Q,24.4Q,25.1Q,25.2Q,25.3Q,25.4Q,
, 매출액,58475,65967,68833,66948,75819,99768,112194,97045,120529,152307,165879,, 매출액,32067,34127,38328,38254,41598,47699,
, -매출원가,49048,55280,59793,57436,65467,87205,100504,87426,109121,137967,147864,, -매출원가,29417,31647,34266,34359,37695,41544,
, =매출총이익,9427,10687,9040,9512,10352,12563,11690,9619,11408,14340,18015,, =매출총이익,2650,2480,4062,3895,3903,6155,
, -판관비,1780,1740,1393,1459,1378,1602,2498,3020,4173,5104,5696,, -판관비,1150,1278,1351,1306,1169,1870,
, *연구비,0,0,0,0,0,0,0,0,0,0,0,, *연구비,0,0,0,0,0,0,
, =영업이익,7647,8948,7647,8053,8974,10961,9192,6599,7235,9237,12319,, =영업이익,1500,1203,2711,2589,2734,4285,
, +-금융손익,456,272,-2,683,-818,463,-345,1159,-2403,-3020,-2294,, +-금융손익,440,-2510,-287,1113,-1336,-1784,
, +-관계기업손익,-17,5,-23,16,-5,28,302,-287,-1107,-901,504,, +-관계기업손익,-55,-944,-48,176,-85,461,
, +-기타영업외손익,-70,33,65,-28,-26,-62,-334,-190,-799,-1012,-241,, +-기타영업외손익,303,-1048,10,352,-326,-277,
, =세전순익,8017,9257,7687,8724,8124,11391,8815,7281,2925,4305,10289,, =세전순익,2188,-3299,2387,4229,988,2685,
, -법인세,2071,2917,2339,2338,2376,3280,832,1947,977,1135,2587,, -법인세,660,-840,762,932,281,612,
, =순이익,5946,6340,5348,6386,5748,8111,7983,5334,1948,3170,7702,, =순이익,1528,-2459,1625,3297,707,2073,
, 지배순이익,5924,6290,5274,6329,5730,8068,7806,5273,1909,3170,7750,, 지배순이익,1563,-2488,1625,3311,722,2092,
, 비지배순이익,22,50,74,57,18,43,177,61,39,0,-48,, 비지배순이익,-35,29,0,-14,-15,-19,
, GPM,16.12,16.2,13.13,14.21,13.65,12.59,10.42,9.91,9.46,9.42,10.86,, GPM,8.26,7.27,10.6,10.18,9.38,12.9,
, OPM,13.08,13.56,11.11,12.03,11.84,10.99,8.19,6.8,6,6.06,7.43,, OPM,4.68,3.53,7.07,6.77,6.57,8.98,
, NPM,10.13,9.54,7.66,9.45,7.56,8.09,6.96,5.43,1.58,2.08,4.67,, NPM,4.87,-7.29,4.24,8.66,1.74,4.39,
