,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,25년4Q(E),매출액,영업이익,순익(지배),,,,,,,,,,,,
,롯데케미칼,A011170,79800,34135,,실적발표,47099,-4335,-13238,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,YOY,-1.71,-85.52,-23.91,,,,,,,,,,,,
,종합 화학,1.88,76.52,-8.69,,QOQ,-1.59,-227.02,-1021.64,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,성장점수,수익점수,안정점수,벨류점수,,,,,,,,,,,,
,-1.68,0.27,-16.19,-5.10,,32,19,61,84,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,퀀트점수,46,퀀트상위(%),54,,,,,,,,,,,,
,-25.76,0.39,-1.70,-0.27,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,99.33,4.79,1.51,0.18,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,16년,17년,18년,19년,20년,21년,22년,23년,24년,25년3Q연환산,25년4Q연환산,,분기 손익 요약,24.3Q,24.4Q,25.1Q,25.2Q,25.3Q,25.4Q,
, 매출액,132235,158745,160731,151235,122230,181205,222761,199464,198948,185651,184830,, 매출액,50802,47920,49018,40852,47861,47099,
, 영업이익,25443,29297,19462,11073,3569,15356,-7626,-3477,-9145,-7434,-9432,, 영업이익,-4174,-2337,-1266,-2505,-1326,-4335,
, 지배순익,18358,22439,15792,7150,1585,13337,616,-500,-17105,-17816,-20371,, 지배순익,-4473,-10683,-1908,-4045,-1180,-13238,
, OPM(%),19.24,18.46,12.11,7.32,2.92,8.47,-3.42,-1.74,-4.6,-4,-5.1,, OPM(%),-8.22,-4.88,-2.58,-6.13,-2.77,-9.2,
, NPM(%),13.88,14.14,9.83,4.73,1.3,7.36,0.28,-0.25,-8.6,-9.6,-11.02,, NPM(%),-8.8,-22.29,-3.89,-9.9,-2.47,-28.11,
, 매출액 증가율(%),12.89,20.05,1.25,-5.91,-19.18,48.25,22.93,-10.46,-0.26,-7.21,-7.1,, 매출액 증가율(%),3.2,-2.31,-3.62,-17.24,-5.79,-1.71,
, 영업이익 증가율(%),57.92,15.15,-33.57,-43.1,-67.77,330.26,-149.66,54.41,-163.01,25.41,-3.14,, 영업이익 증가율(%),-1079.81,26,6.43,-95.4,68.23,-85.49,
, 지배순익 증가율(%),84.97,22.23,-29.62,-54.72,-77.83,741.45,-95.38,-181.17,-3321,-134.21,-19.09,, 지배순익 증가율(%),-1325.48,-801.52,-123.16,-269.74,73.62,-23.92,
, (개별)매출액,82570,101495,101338,91798,91713,137391,162966,134731,136401,123411,119127,, (개별)매출액,35041,32341,33131,27655,30284,28057,
, (개별)영업이익,18571,23666,15228,7757,2067,9761,-6081,-2121,-4622,-3126,-3456,, (개별)영업이익,-2129,-1094,-473,-1209,-350,-1424,
, (개별)순이익,13041,16312,14263,3944,1156,8370,-3183,2048,-9718,-8636,-9492,, (개별)순이익,-2551,-6957,892,-3615,1044,-7813,
, (개별)OPM(%),22.49,23.32,15.03,8.45,2.25,7.1,-3.73,-1.57,-3.39,-2.53,-2.9,, (개별)OPM(%),-6.08,-3.38,-1.43,-4.37,-1.16,-5.08,
, 개별/연결순익(%),71.04,72.69,90.32,55.16,72.93,62.76,-516.72,-409.6,56.81,48.47,46.6,, 개별/연결순익(%),57.03,65.12,-46.75,89.37,-88.47,59.02,
, 주가상승율(%),51.54,-0.27,-24.73,-19.13,23.21,-21.38,-13.64,-14.17,-60.97,-33.3,33.44,, 분기 EPS,-10455.82,-24971.95,-4460.03,-9455.35,-2758.3,-30944.37,
