,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,25년4Q(E),매출액,영업이익,순익(지배),,,,,,,,,,,,
,산일전기,A062040,159200,48628,,실적발표,1421,524,,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,YOY,31.13,55.42,,,,,,,,,,,,,
,기계,0.26,14.24,22.65,,QOQ,7.08,23.03,,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,성장점수,수익점수,안정점수,벨류점수,,,,,,,,,,,,
,36.57,9.04,24.71,35.59,,100,99,96,3,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,퀀트점수,98,퀀트상위(%),2,,,,,,,,,,,,
,24.51,6.00,19.19,30.91,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,33.20,15.89,6.23,3.46,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,16년,17년,18년,19년,20년,21년,22년,23년,24년,25년3Q연환산,25년4Q연환산,,분기 손익 요약,24.3Q,24.4Q,25.1Q,25.2Q,25.3Q,25.4Q,
, 매출액,589,543,507,652,643,648,1077,2145,3340,4682,5019,, 매출액,797,1084,988,1283,1327,1421,
, 영업이익,28,11,-41,40,18,5,122,466,1092,1600,1787,, 영업이익,278,337,375,462,426,524,
, 지배순익,21,9,43,23,14,11,41,391,837,1329,1464,, 지배순익,229,270,312,379,368,405,
, OPM(%),4.75,2.03,-8.09,6.13,2.8,0.77,11.33,21.72,32.69,34.17,35.6,, OPM(%),34.88,31.09,37.96,36.01,32.1,36.88,
, NPM(%),3.57,1.66,8.48,3.53,2.18,1.7,3.81,18.23,25.06,28.39,29.17,, NPM(%),28.73,24.91,31.58,29.54,27.73,28.5,
, 매출액 증가율(%),0,-7.81,-6.63,28.6,-1.38,0.78,66.2,99.16,55.71,68.66,50.27,, 매출액 증가율(%),0,108.46,39.94,70.61,66.5,31.09,
, 영업이익 증가율(%),0,-60.71,-472.73,197.56,-55,-72.22,2340,281.97,134.33,99.25,63.64,, 영업이익 증가율(%),0,602.08,60.94,88.57,53.24,55.49,
, 지배순익 증가율(%),0,-57.14,377.78,-46.51,-39.13,-21.43,272.73,853.66,114.07,120.4,74.91,, 지배순익 증가율(%),0,629.73,89.09,119.08,60.7,50,
, (개별)매출액,0,0,0,0,0,0,0,1049,3340,4682,,, (개별)매출액,797,1084,988,1283,1327,1421,
, (개별)영업이익,0,0,0,0,0,0,0,167,1092,1602,,, (개별)영업이익,278,337,375,463,427,525,
, (개별)순이익,0,0,0,0,0,0,0,130,837,1331,,, (개별)순이익,229,270,312,380,369,430,
, (개별)OPM(%),0,0,0,0,0,0,0,15.92,32.69,34.22,,, (개별)OPM(%),34.88,31.09,37.96,36.09,32.18,36.95,
, 개별/연결순익(%),0,0,0,0,0,0,0,33.25,100,100.15,,, 개별/연결순익(%),100,100,100,100.26,100.27,106.17,
, 주가상승율(%),0,0,0,0,0,0,0,0,0,130.09,132.07,, 분기 EPS,752.05,886.7,1024.63,1244.66,1208.54,1325.7,
