,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,25년4Q(E),매출액,영업이익,순익(지배),,,,,,,,,,,,
,삼성전기,A009150,464500,346952,,실적발표,29021,2395,2228,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,YOY,16.45,108.20,6.92,,,,,,,,,,,,
,스마트폰 부품,0.39,48.98,30.20,,QOQ,0.45,-7.98,1.35,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,성장점수,수익점수,안정점수,벨류점수,,,,,,,,,,,,
,49.14,3.64,7.40,8.07,,86,80,73,5,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,퀀트점수,70,퀀트상위(%),30,,,,,,,,,,,,
,17.15,1.61,9.67,10.62,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,3103.70,8.53,3.64,0.86,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,16년,17년,18년,19년,20년,21년,22년,23년,24년,25년3Q연환산,25년4Q연환산,,분기 손익 요약,24.3Q,24.4Q,25.1Q,25.2Q,25.3Q,25.4Q,
, 매출액,60330,68385,80020,77183,77533,96750,94246,88924,102941,109045,113143,, 매출액,26153,24923,27386,27846,28890,29021,
, 영업이익,244,3062,11499,7409,9127,14869,11828,6605,7350,7888,9133,, 영업이익,2249,1150,2005,2130,2603,2395,
, 지배순익,147,1617,6562,5143,6040,8924,9806,4230,6791,6916,7060,, 지배순익,1152,2084,1337,1297,2198,2228,
, OPM(%),0.4,4.48,14.37,9.6,11.77,15.37,12.55,7.43,7.14,7.23,8.07,, OPM(%),8.6,4.61,7.32,7.65,9.01,8.25,
, NPM(%),0.24,2.36,8.2,6.66,7.79,9.22,10.4,4.76,6.6,6.34,6.24,, NPM(%),4.4,8.36,4.88,4.66,7.61,7.68,
, 매출액 증가율(%),-2.32,13.35,17.01,-3.55,0.45,24.79,-2.59,-5.65,15.76,7.95,9.91,, 매출액 증가율(%),11.28,8.37,4.77,8.24,10.47,16.44,
, 영업이익 증가율(%),-91.9,1154.92,275.54,-35.57,23.19,62.91,-20.45,-44.16,11.28,7.44,24.26,, 영업이익 증가율(%),11.72,0.61,9.2,0.71,15.74,108.26,
, 지배순익 증가율(%),31.45,1000,305.81,-21.62,17.44,47.75,9.88,-56.86,60.54,34.5,3.96,, 지배순익 증가율(%),-25.92,380.18,-26.98,-24.77,90.8,6.91,
