,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,25년4Q(E),매출액,영업이익,순익(지배),,,,,,,,,,,,
,삼성전자,A005930,189000,11188116,,실적발표,938374,200737,192921,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,YOY,23.82,209.17,154.64,,,,,,,,,,,,
,종합 반도체,0.78,29.94,6.69,,QOQ,9.03,65.00,60.68,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,성장점수,수익점수,안정점수,벨류점수,,,,,,,,,,,,
,25.28,2.64,10.43,13.07,,91,91,78,8,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,퀀트점수,91,퀀트상위(%),9,,,,,,,,,,,,
,12.75,1.29,10.29,11.80,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,32.38,5.26,2.64,0.81,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,16년,17년,18년,19년,20년,21년,22년,23년,24년,25년3Q연환산,25년4Q연환산,,분기 손익 요약,24.3Q,24.4Q,25.1Q,25.2Q,25.3Q,25.4Q,
, 매출액,2018667,2395754,2437714,2304009,2368070,2796048,3022314,2589355,3008709,3155568,3336059,, 매출액,790987,757883,791405,745663,860617,938374,
, 영업이익,292407,536450,588867,277685,359939,516339,433766,65670,327260,300202,436012,, 영업이익,91834,64927,66853,46761,121661,200737,
, 지배순익,224157,413446,438909,215051,260908,392438,547300,144734,336214,325450,442610,, 지배순익,97815,75761,80284,49340,120065,192921,
, OPM(%),14.49,22.39,24.16,12.05,15.2,18.47,14.35,2.54,10.88,9.51,13.07,, OPM(%),11.61,8.57,8.45,6.27,14.14,21.39,
, NPM(%),11.1,17.26,18,9.33,11.02,14.04,18.11,5.59,11.17,10.31,13.27,, NPM(%),12.37,10,10.14,6.62,13.95,20.56,
, 매출액 증가율(%),0.6,18.68,1.75,-5.48,2.78,18.07,8.09,-14.33,16.2,7.75,10.88,, 매출액 증가율(%),17.35,11.82,10.05,0.67,8.8,23.82,
, 영업이익 증가율(%),10.7,83.46,9.77,-52.84,29.62,43.45,-15.99,-84.86,398.34,3.31,33.23,, 영업이익 증가율(%),277.37,129.85,1.2,-55.23,32.48,209.17,
, 지배순익 증가율(%),19.9,84.44,6.16,-51,21.32,50.41,39.46,-73.55,132.3,1.48,31.65,, 지배순익 증가율(%),77.8,25.77,21.26,-48.83,22.75,154.64,
, (개별)매출액,1339472,1619150,1703819,1547729,1663112,1997447,2118675,1703741,2090522,2213490,2380431,, (개별)매출액,558289,482496,555349,547654,627991,649437,
, (개별)영업이익,136474,348571,436995,141151,205190,319932,253193,-115263,123610,92274,236036,, (개별)영업이익,45049,-13738,14693,11908,79411,130024,
, (개별)순이익,115797,288008,328151,153533,156150,309710,254188,253971,235826,208599,336866,, (개별)순이익,56946,10521,63872,27520,106686,138788,
, (개별)OPM(%),10.19,21.53,25.65,9.12,12.34,16.02,11.95,-6.77,5.91,4.17,9.92,, (개별)OPM(%),8.07,-2.85,2.65,2.17,12.65,20.02,
, 개별/연결순익(%),51.66,69.66,74.77,71.39,59.85,78.92,46.44,175.47,70.14,64.1,76.11,, 개별/연결순익(%),58.22,13.89,79.56,55.78,88.86,71.94,
, 주가상승율(%),43.02,41.4,-24.06,44.19,45.16,-3.33,-29.37,41.95,-32.23,36.42,255.26,, 분기 EPS,1638.5,1269.08,1356.23,833.5,2028.25,3259,
,* 연간기준=달력기준. 주가= 수정주가. 주식수=수정주식수.(유증 무증등 모두 반영).  시가총액계산시 보통주로 계산. 데이터값 빈칸은 직전값으로 보정. 당해(내년) 추정치 자기자본= 전년(당해) 자기자본+ 배당성향을 감안한 당해(내년) 지배순이익.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,투자지표1,16년,17년,18년,19년,20년,21년,22년,23년,24년,25년3Q연환산,25년4Q연환산,,,,,,,,,
, 시가총액,2535042,3289430,2310306,3331139,4835524,4674340,3301290,4686279,3175924,4966576,11188116,,,,,,,,,
, 주가,36040,50960,38700,55800,81000,78300,55300,78500,53200,83900,189000,,,,,,,,,
, SPS,28699,37115,40834,38595,39668,46837,50627,43374,50399,53306.76,56355.78,,,,,,,,,
, OPS,4157,8311,9864,4652,6029,8649,7266,1100,5482,5071.29,7365.52,,,,,,,,,
