,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,25년4Q(E),매출액,영업이익,순익(지배),,,,,,,,,,,,
,삼성중공업,A010140,26850,236280,,실적발표,28379,2962,973,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,YOY,5.09,70.02,200.74,,,,,,,,,,,,
,조선,0.00,265.05,17.63,,QOQ,7.71,24.43,-31.47,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,성장점수,수익점수,안정점수,벨류점수,,,,,,,,,,,,
,43.31,5.69,13.15,8.10,,83,81,3,6,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,퀀트점수,33,퀀트상위(%),67,,,,,,,,,,,,
,-17.32,2.20,-13.80,-5.48,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,155.68,36.07,5.69,0.42,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,16년,17년,18년,19년,20년,21년,22년,23년,24년,25년3Q연환산,25년4Q연환산,,분기 손익 요약,24.3Q,24.4Q,25.1Q,25.2Q,25.3Q,25.4Q,
, 매출액,104142,79012,52651,73497,68603,66220,59447,80094,99031,105125,106500,, 매출액,23230,27004,24943,26830,26348,28379,
, 영업이익,-1472,-5242,-4093,-6166,-10541,-13120,-8544,2333,5027,7402,8622,, 영업이익,1199,1742,1231,2048,2381,2962,
, 지배순익,-1212,-3388,-3879,-13108,-14824,-14451,-6194,-1483,639,3516,5455,, 지배순익,740,-966,921,2141,1420,973,
, OPM(%),-1.41,-6.63,-7.77,-8.39,-15.37,-19.81,-14.37,2.91,5.08,7.04,8.1,, OPM(%),5.16,6.45,4.94,7.63,9.04,10.44,
, NPM(%),-1.16,-4.29,-7.37,-17.83,-21.61,-21.82,-10.42,-1.85,0.65,3.34,5.12,, NPM(%),3.19,-3.58,3.69,7.98,5.39,3.43,
, 매출액 증가율(%),7.2,-24.13,-33.36,39.59,-6.66,-3.47,-10.23,34.73,23.64,9.1,7.54,, 매출액 증가율(%),14.69,10.98,6.24,5.96,13.42,5.09,
, 영업이익 증가율(%),90.2,-256.11,21.92,-50.65,-70.95,-24.47,34.88,127.31,115.47,81.64,71.51,, 영업이익 증가율(%),57.97,120.51,58.02,56.69,98.58,70.03,
, 지배순익 증가율(%),89.94,-179.54,-14.49,-237.92,-13.09,2.52,57.14,76.06,143.09,658.98,753.68,, 지배순익 증가율(%),94.23,56.76,830.3,179.5,91.89,200.72,
, (개별)매출액,98836,73969,48191,70988,68255,65426,58562,79072,98674,104985,106350,, (개별)매출액,23202,26978,24903,26785,26319,28343,
, (개별)영업이익,-1817,-4924,-4638,-6501,-10120,-11920,-9151,2569,4539,7751,8670,, (개별)영업이익,1095,1982,1257,2072,2440,2901,
, (개별)순이익,-1347,-3376,-4362,-13514,-14280,-12709,-7799,-890,157,4085,5404,, (개별)순이익,768,-552,1019,2185,1433,767,
, (개별)OPM(%),-1.84,-6.66,-9.62,-9.16,-14.83,-18.22,-15.63,3.25,4.6,7.38,8.15,, (개별)OPM(%),4.72,7.35,5.05,7.74,9.27,10.24,
, 개별/연결순익(%),111.14,99.65,112.45,103.1,96.33,87.95,125.91,60.01,24.57,116.18,99.07,, 개별/연결순익(%),103.78,57.14,110.64,102.06,100.92,78.83,
, 주가상승율(%),-1.77,-20.75,14.54,-1.89,-3.16,-14.67,-9.88,51.66,45.81,118.34,137.61,, 분기 EPS,84.09,-109.77,104.66,243.3,161.36,110.57,
,* 연간기준=달력기준. 주가= 수정주가. 주식수=수정주식수.(유증 무증등 모두 반영).  시가총액계산시 보통주로 계산. 데이터값 빈칸은 직전값으로 보정. 당해(내년) 추정치 자기자본= 전년(당해) 자기자본+ 배당성향을 감안한 당해(내년) 지배순이익.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,투자지표1,16년,17년,18년,19년,20년,21년,22년,23년,24년,25년3Q연환산,25년4Q연환산,,,,,,,,,
, 시가총액,36075,28587,46683,45801,44352,49896,44968,68200,99440,192720,236280,,,,,,,,,
, 주가,7705,6106,6994,6862,6645,5670,5110,7750,11300,21900,26850,,,,,,,,,
, SPS,22243,16877,7888,11011,10278,7525,6755,9102,11254,11946.02,12102.27,,,,,,,,,
, OPS,-314,-1120,-613,-924,-1579,-1491,-971,265,571,841.14,979.77,,,,,,,,,
, EPS,-259,-724,-581,-1964,-2221,-1642,-704,-168,73,399.55,619.89,,,,,,,,,
, BPS,13379,12366,10095,7859,5580,4672,4085,3908,4312,4538.52,4714.66,,,,,,,,,
, CPS,-3321,1154,248,-1021,-365,960,-1924,-587,744,2646,1776,,,,,,,,,
, DPS,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
, SPS증가율(%),-26.88,-24.13,-53.26,39.59,-6.66,-26.79,-10.23,34.73,23.64,9.1,7.54,,,,,,,,,
, OPS증가율(%),93.32,-256.11,45.23,-50.66,-70.97,5.6,34.87,127.31,115.44,81.67,71.59,,,,,,,,,
, EPS증가율(%),93.14,-179.46,19.7,-237.99,-13.09,26.07,57.13,76.06,143.08,662.74,749.16,,,,,,,,,
, BPS증가율(%),0.84,-7.57,-18.36,-22.16,-29,-16.28,-12.56,-4.32,10.33,5.97,9.34,,,,,,,,,
, CPS증가율(%),-270.97,134.74,-78.5,-511.57,64.19,362.78,-300.35,69.49,226.73,2505.45,138.71,,,,,,,,,
, DPS증가율(%),0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
, 주가상승률(%),-1.77,-20.75,14.54,-1.89,-3.16,-14.67,-9.88,51.66,45.81,118.34,137.61,,,,,,,,,
, 주식수증가율(%),46.61,0,42.57,0,0,31.85,0,0,0,0,0,,,,,,,,,
, 자본증가율(%),47.83,-7.58,16.39,-22.16,-29,10.39,-12.56,-4.32,10.33,5.96,9.34,,,,,,,,,
, 자산증가율(%),303.63,-19.74,3.36,-4.78,-4.99,-6.06,19.39,7.6,10.27,-3.56,-13.06,,,,,,,,,
, 영업현금증가율(%),0,134.74,-69.36,-511.6,64.2,446.45,-300.36,69.49,226.72,2495.16,138.78,,,,,,,,,
, 설비투자증가율(%),0,-47.87,-36.05,11.88,26.68,-59.71,58.38,145.83,13.04,52.74,24.68,,,,,,,,,
, FCF증가율(%),0,124.53,-77.67,-885.91,54.93,335.69,-317.9,61.84,171.82,957.69,179.9,,,,,,,,,
, ROIC증가율(%),0,-52.93,2.05,-110.27,-59.94,-42.85,33.09,113.19,-176.3,-6878.16,775.66,,,,,,,,,
, ROE증가율(%),0,-201.55,1.54,-333.85,-59.3,11.71,50.98,74.99,138.98,627.52,680.78,,,,,,,,,
, ROA증가율(%),0,-250,-11.02,-254.41,-18.98,-3.75,64.12,77.75,138.95,679.61,881.93,,,,,,,,,
, OPM증가율(%),90.86,-369.38,-17.17,-7.92,-83.15,-28.95,27.46,120.27,74.27,66.5,59.49,,,,,,,,,
, NPM증가율(%),90.62,-268.45,-71.82,-142.08,-21.16,-0.99,52.25,82.23,134.85,612.37,693.81,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,투자지표2,16년,17년,18년,19년,20년,21년,22년,23년,24년,25년3Q연환산,25년4Q연환산,,,,,,,,,
, PSR,0.35,0.36,0.89,0.62,0.65,0.75,0.76,0.85,1,1.83,2.22,,,,,,,,,
