,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,25년4Q(E),매출액,영업이익,순익(지배),,,,,,,,,,,,
,씨어스테크놀로지,A458870,182900,23204,,실적발표,204,87,,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,YOY,272.13,2549.91,,,,,,,,,,,,,
,의료서비스,0.00,33.88,51.69,,QOQ,29.70,29.39,,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,성장점수,수익점수,안정점수,벨류점수,,,,,,,,,,,,
,292.74,76.58,26.16,33.89,,92,99,33,9,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,퀀트점수,65,퀀트상위(%),35,,,,,,,,,,,,
,-107.88,21.21,-58.14,-193.99,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,155.28,100.03,26.17,6.16,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,16년,17년,18년,19년,20년,21년,22년,23년,24년,25년3Q연환산,25년4Q연환산,,분기 손익 요약,24.3Q,24.4Q,25.1Q,25.2Q,25.3Q,25.4Q,
, 매출액,0,0,0,14,6,14,12,19,81,,482,, 매출액,10,55,41,80,157,204,
, 영업이익,0,0,0,-16,-31,-44,-80,-98,-87,,163,, 영업이익,-35,3,-6,15,67,87,
, 지배순익,0,0,0,-19,-34,-44,-80,-99,-89,,149,, 지배순익,-35,3,-6,15,67,73,
, OPM(%),0,0,0,-114.29,-516.67,-314.29,-666.67,-515.79,-107.41,,33.82,, OPM(%),-350,5.45,-14.63,18.75,42.68,42.65,
, NPM(%),0,0,0,-135.71,-566.67,-314.29,-666.67,-521.05,-109.88,,30.91,, NPM(%),-350,5.45,-14.63,18.75,42.68,35.78,
, 매출액 증가율(%),0,0,0,0,-57.14,133.33,-14.29,58.33,326.32,,495.06,, 매출액 증가율(%),150,511.11,485.71,788.89,1470,270.91,
, 영업이익 증가율(%),0,0,0,0,-93.75,-41.94,-81.82,-22.5,11.22,,287.36,, 영업이익 증가율(%),-29.63,112.5,76.92,151.72,291.43,2800,
, 지배순익 증가율(%),0,0,0,0,-78.95,-29.41,-81.82,-23.75,10.1,,267.42,, 지배순익 증가율(%),-25,112,77.78,150,291.43,2333.33,
, (개별)매출액,0,0,0,0,0,0,0,19,81,,,, (개별)매출액,10,55,41,80,157,0,
, (개별)영업이익,0,0,0,0,0,0,0,-98,-87,,,, (개별)영업이익,-35,3,-6,15,68,0,
, (개별)순이익,0,0,0,0,0,0,0,-99,-89,,,, (개별)순이익,-35,3,-6,15,67,0,
, (개별)OPM(%),0,0,0,0,0,0,0,-515.79,-107.41,,,, (개별)OPM(%),-350,5.45,-14.63,18.75,43.31,0,
, 개별/연결순익(%),0,0,0,0,0,0,0,100,100,,,, 개별/연결순익(%),100,100,100,100,100,0,
, 주가상승율(%),0,0,0,0,0,0,0,0,0,368.21,1640.25,, 분기 EPS,-278.88,23.9,-47.66,119.14,528.81,575.26,
,* 연간기준=달력기준. 주가= 수정주가. 주식수=수정주식수.(유증 무증등 모두 반영).  시가총액계산시 보통주로 계산. 데이터값 빈칸은 직전값으로 보정. 당해(내년) 추정치 자기자본= 전년(당해) 자기자본+ 배당성향을 감안한 당해(내년) 지배순이익.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,투자지표1,16년,17년,18년,19년,20년,21년,22년,23년,24년,25년3Q연환산,25년4Q연환산,,,,,,,,,
