,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,25년4Q(E),매출액,영업이익,순익(지배),,,,,,,,,,,,
,씨에스윈드,A112610,66100,27875,,실적발표,7827,702,,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,YOY,16.39,99.98,,,,,,,,,,,,,
,풍력,1.51,154.27,13.74,,QOQ,31.11,6.81,,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,성장점수,수익점수,안정점수,벨류점수,,,,,,,,,,,,
,14.01,2.17,15.47,10.93,,93,88,27,31,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,퀀트점수,68,퀀트상위(%),32,,,,,,,,,,,,
,34.24,2.78,6.43,7.65,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,1521.13,5.11,7.41,0.99,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,16년,17년,18년,19년,20년,21년,22년,23년,24년,25년3Q연환산,25년4Q연환산,,분기 손익 요약,24.3Q,24.4Q,25.1Q,25.2Q,25.3Q,25.4Q,
, 매출액,3112,3122,5022,7994,9691,11950,13749,15202,30725,28214,29316,, 매출액,8055,6725,9019,6500,5970,7827,
, 영업이익,-237,354,327,601,976,1011,421,1042,2555,2853,3204,, 영업이익,1098,351,1252,593,657,702,
, 지배순익,-173,389,59,319,309,662,19,194,1423,1989,1739,, 지배순익,731,100,949,381,559,-150,
, OPM(%),-7.62,11.34,6.51,7.52,10.07,8.46,3.06,6.85,8.32,10.11,10.93,, OPM(%),13.63,5.22,13.88,9.12,11.01,8.97,
, NPM(%),-5.56,12.46,1.17,3.99,3.19,5.54,0.14,1.28,4.63,7.05,5.93,, NPM(%),9.08,1.49,10.52,5.86,9.36,-1.92,
, 매출액 증가율(%),4.74,0.32,60.86,59.18,21.23,23.31,15.05,10.57,102.11,1.72,-4.59,, 매출액 증가율(%),111.7,79.96,22.42,-24.22,-25.88,16.39,
, 영업이익 증가율(%),-164.97,249.37,-7.63,83.79,62.4,3.59,-58.36,147.51,145.2,31.54,25.4,, 영업이익 증가율(%),165.22,1102.86,1034.33,-52.18,-40.16,100,
, 지배순익 증가율(%),-180.84,324.86,-84.83,440.68,-3.13,114.24,-97.13,921.05,633.51,90.7,22.21,, 지배순익 증가율(%),282.72,135.84,322.77,-62.57,-23.53,-250,
, (개별)매출액,1784,1854,3704,6039,6845,6398,5745,2528,5360,6003,,, (개별)매출액,850,1674,2311,1068,950,0,
, (개별)영업이익,-264,8,-37,427,460,412,-203,376,512,663,,, (개별)영업이익,103,155,239,143,126,0,
, (개별)순이익,-297,59,-114,113,190,235,-304,126,100,420,,, (개별)순이익,-38,-9,151,191,87,0,
, (개별)OPM(%),-14.8,0.43,-1,7.07,6.72,6.44,-3.53,14.87,9.55,11.04,,, (개별)OPM(%),12.12,9.26,10.34,13.39,13.26,0,
, 개별/연결순익(%),171.68,15.17,-193.22,35.42,61.49,35.5,-1600,64.95,7.03,21.12,,, 개별/연결순익(%),-5.2,-9,15.91,50.13,15.56,0,
, 주가상승율(%),-29.52,49.3,5.34,37.68,391.11,-25.81,4.72,2.03,-40.31,-39.28,57.76,, 분기 EPS,1733.46,237.14,2250.41,903.49,1325.59,-355.7,
,* 연간기준=달력기준. 주가= 수정주가. 주식수=수정주식수.(유증 무증등 모두 반영).  시가총액계산시 보통주로 계산. 데이터값 빈칸은 직전값으로 보정. 당해(내년) 추정치 자기자본= 전년(당해) 자기자본+ 배당성향을 감안한 당해(내년) 지배순이익.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,투자지표1,16년,17년,18년,19년,20년,21년,22년,23년,24년,25년3Q연환산,25년4Q연환산,,,,,,,,,
, 시가총액,3034,4529,4771,6569,30596,27707,29014,29604,17670,17670,27875,,,,,,,,,
, 주가,8327,12432,13096,18031,88552,65700,68800,70200,41900,41900,66100,,,,,,,,,
, SPS,8543,8571,13786,21944,28047,28338,32603,36047,72858,66905.38,69518.62,,,,,,,,,
, OPS,-650,972,899,1651,2824,2398,999,2471,6058,6765.47,7597.82,,,,,,,,,
, EPS,-474,1069,163,876,893,1570,45,460,3374,4716.62,4123.78,,,,,,,,,
, BPS,8192,8282,8292,9360,11957,21204,20856,21254,27238,30490.87,,,,,,,,,,
, CPS,1340,-84,-564,2352,694,-2499,3576,2628,1164,15562,,,,,,,,,,
, DPS,95,166,189,218,473,600,500,500,1000,1000,,,,,,,,,,
, SPS증가율(%),4.73,0.33,60.84,59.18,27.82,1.03,15.05,10.57,102.12,1.72,-4.58,,,,,,,,,
, OPS증가율(%),-164.97,249.61,-7.52,83.65,71.08,-15.09,-58.35,147.37,145.19,31.55,25.42,,,,,,,,,
, EPS증가율(%),-180.84,325.53,-84.79,438.61,1.99,75.72,-97.12,916.07,634.2,90.65,22.22,,,,,,,,,
, BPS증가율(%),-8.33,1.1,0.12,12.87,27.75,77.33,-1.64,1.91,28.15,19,,,,,,,,,,
, CPS증가율(%),345.98,-106.3,-566.97,517.34,-70.48,-459.96,243.11,-26.51,-55.73,4434.82,,,,,,,,,,
, DPS증가율(%),-33.1,74.74,13.86,15.34,116.97,26.85,-16.67,0,100,0,,,,,,,,,,
, 주가상승률(%),-29.52,49.3,5.34,37.68,391.11,-25.81,4.72,2.03,-40.31,-39.28,57.76,,,,,,,,,
, 주식수증가율(%),0,0,0,0,-5.16,22.05,0,0,0,0,0,,,,,,,,,
, 자본증가율(%),-8.33,1.11,0.13,12.88,21.14,116.46,-1.64,1.91,28.16,18.99,,,,,,,,,,
, 자산증가율(%),18.42,0.6,56.29,21.31,19.71,101.12,0.73,60.83,25.8,8.18,,,,,,,,,,
, 영업현금증가율(%),0,-106.35,-561.29,518.05,-72,-539.17,243.07,-26.53,-55.69,4446.36,,,,,,,,,,
