,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,25년4Q(E),매출액,영업이익,순익(지배),,,,,,,,,,,,
,에스앤에스텍,A101490,85400,18220,,실적발표,636,133,235,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,YOY,40.60,232.67,252.08,,,,,,,,,,,,
,디스플레이 부품,0.18,29.18,,,QOQ,3.35,11.73,84.91,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,성장점수,수익점수,안정점수,벨류점수,,,,,,,,,,,,
,31.27,6.01,19.22,20.67,,98,98,90,3,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,퀀트점수,97,퀀트상위(%),3,,,,,,,,,,,,
,33.77,3.77,10.58,15.27,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,84.86,16.09,7.82,0.91,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,16년,17년,18년,19년,20년,21년,22년,23년,24년,25년3Q연환산,25년4Q연환산,,분기 손익 요약,24.3Q,24.4Q,25.1Q,25.2Q,25.3Q,25.4Q,
, 매출액,540,539,610,845,874,988,1235,1503,1760,2253,2437,, 매출액,466,452,579,607,615,636,
, 영업이익,73,24,52,111,110,126,160,250,295,411,504,, 영업이익,96,40,119,133,119,133,
, 지배순익,90,31,46,101,110,115,175,259,305,414,582,, 지배순익,82,67,119,101,127,235,
, OPM(%),13.52,4.45,8.52,13.14,12.59,12.75,12.96,16.63,16.76,18.24,20.68,, OPM(%),20.6,8.85,20.55,21.91,19.35,20.91,
, NPM(%),16.67,5.75,7.54,11.95,12.59,11.64,14.17,17.23,17.33,18.38,23.88,, NPM(%),17.6,14.82,20.55,16.64,20.65,36.95,
, 매출액 증가율(%),4.49,-0.19,13.17,38.52,3.43,13.04,25,21.7,17.1,31.6,38.47,, 매출액 증가율(%),21.04,11.88,38.52,43.16,31.97,40.71,
, 영업이익 증가율(%),-31.66,-67.12,116.67,113.46,-0.9,14.55,26.98,56.25,18,30.06,70.85,, 영업이익 증가율(%),68.42,-34.43,60.81,56.47,23.96,232.5,
, 지배순익 증가율(%),21.54,-65.56,48.39,119.57,8.91,4.55,52.17,48,17.76,39.86,90.82,, 지배순익 증가율(%),30.16,15.52,54.55,27.85,54.88,250.75,
, (개별)매출액,540,539,610,845,874,985,1222,1430,1666,2201,2348,, (개별)매출액,413,456,549,590,606,603,
, (개별)영업이익,73,24,52,111,113,128,182,219,295,450,489,, (개별)영업이익,65,92,105,131,122,131,
, (개별)순이익,90,31,46,101,111,115,175,259,329,414,582,, (개별)순이익,82,67,119,101,127,235,
, (개별)OPM(%),13.52,4.45,8.52,13.14,12.93,12.99,14.89,15.31,17.71,20.45,20.83,, (개별)OPM(%),15.74,20.18,19.13,22.2,20.13,21.72,
, 개별/연결순익(%),100,100,100,100,100.91,100,100,100,107.87,100,100,, 개별/연결순익(%),100,100,100,100,100,100,
, 주가상승율(%),-9.45,-46.46,-12.53,223.61,256.56,-15.4,-28.4,71.92,-43.49,90.93,233.59,, 분기 EPS,382.28,312.35,554.78,470.86,592.07,1101.73,
,* 연간기준=달력기준. 주가= 수정주가. 주식수=수정주식수.(유증 무증등 모두 반영).  시가총액계산시 보통주로 계산. 데이터값 빈칸은 직전값으로 보정. 당해(내년) 추정치 자기자본= 전년(당해) 자기자본+ 배당성향을 감안한 당해(내년) 지배순이익.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,투자지표1,16년,17년,18년,19년,20년,21년,22년,23년,24년,25년3Q연환산,25년4Q연환산,,,,,,,,,
, 시가총액,1589,851,744,2408,9331,7894,5652,9718,5492,10608,18220,,,,,,,,,
, 주가,8050,4310,3770,12200,43500,36800,26350,45300,25600,49450,85400,,,,,,,,,
, SPS,2742,2731,3092,4280,4073,4608,5758,7007,8205,10503.5,11425.22,,,,,,,,,
, OPS,374,124,263,562,514,588,746,1167,1374,1916.08,2362.87,,,,,,,,,
, EPS,454,159,234,512,513,536,814,1205,1421,1930.07,2728.55,,,,,,,,,
, BPS,3808,3971,4037,4489,7667,8131,8875,10293,11443,13048.95,14205.34,,,,,,,,,
, CPS,648,482,624,443,317,589,1162,1191,1680,1868,2197,,,,,,,,,
, DPS,0,50,50,50,80,100,150,150,150,150,150,,,,,,,,,
, SPS증가율(%),-4.09,-0.39,13.2,38.43,-4.83,13.13,24.95,21.71,17.09,31.62,39.25,,,,,,,,,
, OPS증가율(%),-37.27,-66.92,112.29,113.99,-8.51,14.26,26.98,56.37,17.73,30.08,71.97,,,,,,,,,
, EPS증가율(%),11.56,-65.05,47.62,118.46,0.18,4.57,51.87,48.04,17.89,39.76,92.02,,,,,,,,,
, BPS증가율(%),5.17,4.28,1.67,11.19,70.81,6.05,9.15,15.97,11.17,15.77,24.14,,,,,,,,,
, CPS증가율(%),-20.94,-25.5,29.34,-29.07,-28.43,86.04,97.11,2.55,41.05,8.67,30.77,,,,,,,,,
, DPS증가율(%),0,0,0,0,60,25,50,0,0,0,0,,,,,,,,,
, 주가상승률(%),-9.45,-46.46,-12.53,223.61,256.56,-15.4,-28.4,71.92,-43.49,90.93,233.59,,,,,,,,,
, 주식수증가율(%),9,0,0,0,8.66,0,0,0,0,0,-0.56,,,,,,,,,
, 자본증가율(%),14.48,4.39,1.66,11.17,85.67,6.02,9.17,15.97,11.19,15.76,23.42,,,,,,,,,
, 자산증가율(%),84.3,0.08,2.31,9.53,37.17,6.13,14.89,13.23,15.65,38.11,32.36,,,,,,,,,
, 영업현금증가율(%),0,-25.78,29.47,-29.27,-21.84,85.29,97.62,2.81,40.62,8.67,30.28,,,,,,,,,
, 설비투자증가율(%),0,-64.86,-88.18,269.23,277.08,-22.1,126.24,-33.86,-6.16,67.55,220.2,,,,,,,,,
, FCF증가율(%),0,91.94,833.33,-63.64,-382.5,86.73,-366.67,164.29,262.22,-52.49,-201.85,,,,,,,,,
, ROIC증가율(%),0,-68.55,120.2,75.16,-16.99,7.04,12.59,19.57,-1.19,19.42,57.24,,,,,,,,,
, ROE증가율(%),0,-66.47,45,96.55,-41.32,-1.49,39.15,27.7,6.06,20.83,54.61,,,,,,,,,
, ROA증가율(%),0,-65.05,44.02,99.73,-20.67,-1.52,32.3,30.78,1.89,1.27,44.17,,,,,,,,,
, OPM증가율(%),-32.8,-67.06,91.45,54.1,-4.19,1.33,1.59,28.39,0.77,-1.17,23.39,,,,,,,,,
, NPM증가율(%),15.32,-65.49,31.12,58.5,5.3,-7.52,21.74,21.61,0.56,6.28,37.81,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,투자지표2,16년,17년,18년,19년,20년,21년,22년,23년,24년,25년3Q연환산,25년4Q연환산,,,,,,,,,
, PSR,2.94,1.58,1.22,2.85,10.68,7.99,4.58,6.46,3.12,4.71,7.48,,,,,,,,,
, POR,21.51,34.82,14.35,21.69,84.55,62.6,35.3,38.81,18.63,25.81,36.15,,,,,,,,,
, PER,17.73,27.16,16.09,23.84,84.86,68.65,32.37,37.58,18.02,25.62,31.31,,,,,,,,,
, EV/EBITDA,12.97,10.51,6.27,12.74,0,0,0,0,0,19.17,28.08,,,,,,,,,
, PBR,2.11,1.09,0.93,2.72,5.67,4.53,2.97,4.4,2.24,3.79,6.01,,,,,,,,,
, PCR,12.43,8.93,6.04,27.56,137.3,62.44,22.68,38.02,15.23,26.45,38.85,,,,,,,,,
, PRR,48.39,32.26,23.75,56.56,227.68,182.82,90.9,104.29,39.75,72.66,125.66,,,,,,,,,
, PEG,1.53,-0.42,0.34,0.2,471.44,15.02,0.62,0.78,1.01,0.64,0.34,,,,,,,,,
, ROE,11.93,4,5.8,11.4,6.69,6.59,9.17,11.71,12.42,14.79,19.21,,,,,,,,,
, ROA,7.41,2.59,3.73,7.45,5.91,5.82,7.7,10.07,10.26,10.27,14.81,,,,,,,,,
, ROIC,10.37,3.26,7.18,12.59,10.45,11.18,12.59,15.05,14.87,19.58,23.54,,,,,,,,,
, 배당성향(%),0,31.51,21.35,9.77,15.61,18.65,18.42,12.45,10.56,7.77,5.5,,,,,,,,,
, 연간 배당률(%),0,1.16,1.33,0.41,0.18,0.27,0.57,0.33,0.59,0.3,0.18,,,,,,,,,
, 차입률(%),37.57,43.04,40.13,34.59,4.89,2.47,5.36,5.45,6.86,17.08,14.72,,,,,,,,,
, 부채비율(%),60.99,54.37,55.41,53.05,13.09,13.19,19.1,16.29,20.33,43.52,29.31,,,,,,,,,
, 당좌비율(%),99.74,147.16,109.87,109.27,468.17,481.81,247.26,336.64,311.48,236.88,292.49,,,,,,,,,
, 유동비율(%),131.06,192.9,146.21,149.72,606.61,580.24,309.09,404.43,390.77,274.65,354.91,,,,,,,,,
, 영업이익/차입금(%),26.16,7.24,16.22,36.22,137.34,292.35,156.93,207.97,174.18,85.98,113,,,,,,,,,
, 매출채권회전일수,65.02,64.19,58.9,84.82,58.34,82.11,78.08,83.84,79.27,98.01,87.47,,,,,,,,,
, 재고자산회전일수,51.22,56.09,61.86,62.38,89.1,62.13,55.66,48.05,65.23,48.28,48.53,,,,,,,,,
, 매입채무회전일수,92.6,30.47,48.47,48.81,27.56,44.7,55.86,36.43,42.93,97.2,42.99,,,,,,,,,
, 현금회전일수,23.64,89.81,72.29,98.39,119.88,99.54,77.88,95.46,101.57,49.09,93.01,,,,,,,,,
, 주식수 (만주),1974,1974,1974,1974,2145,2145,2145,2145,2145,2145,2133,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익계산서,16년,17년,18년,19년,20년,21년,22년,23년,24년,25년3Q연환산,25년4Q연환산,,분기 손익계산서,24.3Q,24.4Q,25.1Q,25.2Q,25.3Q,25.4Q,
, 매출액,540,539,610,845,874,988,1235,1503,1760,2253,2437,, 매출액,466,452,579,607,615,636,
, -매출원가,380,426,465,621,643,727,896,1037,1165,1490,1591,, -매출원가,293,319,376,387,408,420,
, =매출총이익,160,113,145,224,231,261,339,466,595,763,846,, =매출총이익,173,133,203,220,207,216,
, -판관비,86,88,93,113,120,134,178,216,300,353,343,, -판관비,77,93,84,88,88,83,
, *연구비,33,26,31,43,41,43,62,93,138,146,145,, *연구비,41,39,33,35,39,38,
, =영업이익,73,24,52,111,110,126,160,250,295,411,504,, =영업이익,96,40,119,133,119,133,
, +-금융손익,-6,1,-8,-9,-1,1,3,11,43,18,1,, +-금융손익,8,19,10,-24,13,2,
, +-관계기업손익,11,0,-4,0,-1,-1,0,3,4,-3,-1,, +-관계기업손익,-2,-3,0,0,0,-1,
, +-기타영업외손익,-1,0,1,-1,2,-7,3,13,3,6,9,, +-기타영업외손익,0,1,1,0,4,4,
, =세전순익,78,26,41,101,110,119,165,277,345,433,514,, =세전순익,102,57,130,110,136,138,
, -법인세,-12,-5,-5,0,0,4,-10,18,42,20,-67,, -법인세,20,-9,11,9,9,-96,
, =순이익,90,31,46,101,110,115,175,259,303,413,581,, =순이익,82,66,119,101,127,234,
, 지배순이익,90,31,46,101,110,115,175,259,305,414,582,, 지배순이익,82,67,119,101,127,235,
, 비지배순이익,0,0,0,0,0,0,0,0,-2,-1,-1,, 비지배순이익,0,-1,0,0,0,-1,
, GPM,29.63,20.96,23.77,26.51,26.43,26.42,27.45,31,33.81,33.87,34.71,, GPM,37.12,29.42,35.06,36.24,33.66,33.96,
, OPM,13.52,4.45,8.52,13.14,12.59,12.75,12.96,16.63,16.76,18.24,20.68,, OPM,20.6,8.85,20.55,21.91,19.35,20.91,
, NPM,16.67,5.75,7.54,11.95,12.59,11.64,14.17,17.23,17.33,18.38,23.88,, NPM,17.6,14.82,20.55,16.64,20.65,36.95,
, 판관비율,15.93,16.33,15.25,13.37,13.73,13.56,14.41,14.37,17.05,15.67,14.07,, 판관비율,16.52,20.58,14.51,14.5,14.31,13.05,
, 연구비율,6.11,4.82,5.08,5.09,4.69,4.35,5.02,6.19,7.84,6.48,5.95,, 연구비율,8.8,8.63,5.7,5.77,6.34,5.97,
, 감가상각비율,11.3,13.54,13.93,10.41,9.95,9.11,8.18,8.25,7.61,6.48,6.07,, 감가상각비율,7.3,7.96,6.22,6.1,6.02,5.97,
, 설비투자비율,57.96,20.41,2.13,5.68,20.71,14.27,25.83,14.04,11.25,13.98,26.02,, 설비투자비율,9.01,19.03,9.15,14.99,13.82,63.68,
,,,,,,,,,,,,,,,,,,,,,
,연간 현금흐름표,16년,17년,18년,19년,20년,21년,22년,23년,24년,25년3Q연환산,25년4Q연환산,,분기 현금흐름표,24.3Q,24.4Q,25.1Q,25.2Q,25.3Q,25.4Q,
, 영업활동현금흐름,128,95,123,87,68,126,249,256,360,401,469,, 영업활동현금흐름,92,78,70,125,128,146,
, 당기순이익,90,31,46,101,110,115,175,259,303,413,581,, 당기순이익,82,66,119,101,127,234,
, 감가상각비,61,73,85,88,87,90,101,124,134,146,148,, 감가상각비,34,36,36,37,37,38,
, 투자활동현금흐름,-370,-91,-61,-54,-442,138,-334,-208,-192,-244,-696,, 투자활동현금흐름,-119,-7,-54,-100,-83,-459,
, 설비투자,313,110,13,48,181,141,319,211,198,315,634,, 설비투자,42,86,53,91,85,405,
, 재무활동현금흐름,119,70,-38,-19,498,-51,32,79,-11,296,275,, 재무활동현금흐름,-7,-15,2,-5,314,-36,
, FCF,-186,-15,110,40,-113,-15,-70,45,163,86,-165,, FCF,50,-8,17,34,43,-259,
,,,,,,,,,,,,,,,,,,,,,
,연간 재무상태표,16년,17년,18년,19년,20년,21년,22년,23년,24년,25년3Q연환산,25년4Q연환산,,분기 재무상태표,24.3Q,24.4Q,25.1Q,25.2Q,25.3Q,25.4Q,
, 유동자산,318,349,416,534,935,992,942,1180,1550,2167,1842,, 유동자산,1496,1550,1688,1705,2167,1842,
, 현금성자산,70,143,167,181,304,519,465,590,756,1150,800,, 현금성자산,694,756,779,782,1150,800,
, 매출채권,96,95,98,196,140,222,264,345,382,605,584,, 매출채권,365,382,524,539,605,584,
, 재고자산,76,83,103,144,213,168,188,198,315,298,324,, 재고자산,241,315,306,307,298,324,
, 비유동자산,891,861,822,822,925,982,1326,1388,1420,1863,2089,, 비유동자산,1422,1420,1436,1500,1863,2089,
, 유형자산,777,744,692,655,766,820,1085,1160,1252,1699,1799,, 유형자산,1221,1252,1270,1329,1699,1799,
, 무형자산,45,53,56,52,44,28,23,19,17,22,22,, 무형자산,17,17,17,24,22,22,
, 투자자산,34,22,25,62,57,75,140,147,104,111,124,, 투자자산,145,104,108,104,111,124,
, 유동부채,242,181,285,357,154,171,305,292,397,789,519,, 유동부채,394,397,463,443,789,519,
, 매입채무,137,45,81,113,66,121,189,150,207,600,287,, 매입채무,211,207,269,233,600,287,
, 비유동부채,216,245,156,113,61,59,59,68,105,429,369,, 비유동부채,92,105,105,105,429,369,
, 순차입금,162,174,115,125,0,0,0,0,0,0,0,, 순차입금,0,0,0,0,0,0,
, 차입금,282,337,320,306,80,43,102,120,169,478,446,, 차입금,157,169,177,193,478,446,
, 부채총계,458,426,441,470,215,230,364,360,502,1218,888,, 부채총계,486,502,568,548,1218,888,
, 자본총계,751,784,797,886,1645,1744,1904,2208,2468,2812,3043,, 자본총계,2432,2468,2556,2657,2812,3043,
, 지배주주지분,751,784,797,886,1645,1744,1904,2208,2455,2799,3030,, 지배주주지분,2418,2455,2543,2644,2799,3030,
, 투하자본,812,877,812,882,1053,1089,1348,1553,1742,2002,2420,, 투하자본,1616,1742,1831,1942,2002,2420,
, 운전자본,35,133,120,227,287,269,263,393,490,303,621,, 운전자본,395,490,561,613,303,621,
, 총자산,1209,1210,1238,1356,1860,1974,2268,2568,2970,4030,3931,, 총자산,2918,2970,3124,3205,4030,3931,
, (개별)총자산,1209,1210,1238,1356,1860,1971,2254,2550,2927,4008,3910,, (개별)총자산,2864,2927,3090,3181,4008,3910,
, (개별)부채총계,458,426,441,470,215,227,350,342,472,1209,880,, (개별)부채총계,446,472,547,537,1209,880,
, (개별)자본총계,751,784,797,886,1645,1744,1904,2208,2455,2799,3030,, (개별)자본총계,2418,2455,2543,2644,2799,3030,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
