,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,25년4Q(E),매출액,영업이익,순익(지배),,,,,,,,,,,,
,에스텍,A069510,15060,1643,,실적발표,,,,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,YOY,,,,,,,,,,,,,,,
,전자기기,5.64,57.89,,,QOQ,,,,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,성장점수,수익점수,안정점수,벨류점수,,,,,,,,,,,,
,4.03,0.75,18.49,8.33,,70,91,32,56,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,퀀트점수,82,퀀트상위(%),18,,,,,,,,,,,,
,8.79,0.72,5.64,2.10,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,54.93,2.47,1.37,0.55,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,16년,17년,18년,19년,20년,21년,22년,23년,24년,25년3Q연환산,,,분기 손익 요약,24.3Q,24.4Q,25.1Q,25.2Q,25.3Q,25.4Q(E),
, 매출액,2905,3004,3064,3380,3125,3307,4684,4146,5094,4833,,, 매출액,1534,1313,1194,1183,1143,,
, 영업이익,172,160,180,175,133,-459,87,246,440,402,,, 영업이익,154,40,120,149,93,,
, 지배순익,147,99,200,172,122,-348,95,217,463,408,,, 지배순익,106,101,108,81,118,,
, OPM(%),5.92,5.33,5.87,5.18,4.26,-13.88,1.86,5.93,8.64,8.32,,, OPM(%),10.04,3.05,10.05,12.6,8.14,,
, NPM(%),5.06,3.3,6.53,5.09,3.9,-10.52,2.03,5.23,9.09,8.44,,, NPM(%),6.91,7.69,9.05,6.85,10.32,,
, 매출액 증가율(%),7.53,3.41,2,10.31,-7.54,5.82,41.64,-11.49,22.87,-2.64,,, 매출액 증가율(%),37.83,10.99,17.98,-4.21,-25.49,,
, 영업이익 증가율(%),8.42,-6.98,12.5,-2.78,-24,-445.11,118.95,182.76,78.86,-6.29,,, 영업이익 증가율(%),29.41,37.93,37.93,-5.7,-39.61,,
, 지배순익 증가율(%),3.97,-32.65,102.02,-14,-29.07,-385.25,127.3,128.42,113.36,13.02,,, 지배순익 증가율(%),-7.83,0,18.68,-50.91,11.32,,
, (개별)매출액,1798,1777,1971,2168,1980,2383,3827,2941,3028,3108,,, (개별)매출액,767,789,746,796,777,,
, (개별)영업이익,7,20,40,12,0,-84,96,-44,-22,-10,,, (개별)영업이익,25,-68,41,16,1,,
, (개별)순이익,81,64,109,64,104,19,163,-50,239,217,,, (개별)순이익,19,134,51,-14,46,,
, (개별)OPM(%),0.39,1.13,2.03,0.55,0,-3.52,2.51,-1.5,-0.73,-0.32,,, (개별)OPM(%),3.26,-8.62,5.5,2.01,0.13,,
, 개별/연결순익(%),55.1,64.65,54.5,37.21,85.25,-5.46,171.58,-23.04,51.62,53.19,,, 개별/연결순익(%),17.92,132.67,47.22,-17.28,38.98,,
, 주가상승율(%),12.56,-1.29,-14.43,18.39,-3,-17.43,-11.68,8.25,17.83,33.73,43.29,, 분기 EPS,971.59,925.76,989.92,742.44,1081.58,,
,* 연간기준=달력기준. 주가= 수정주가. 주식수=수정주식수.(유증 무증등 모두 반영).  시가총액계산시 보통주로 계산. 데이터값 빈칸은 직전값으로 보정. 당해(내년) 추정치 자기자본= 전년(당해) 자기자본+ 배당성향을 감안한 당해(내년) 지배순이익.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,투자지표1,16년,17년,18년,19년,20년,21년,22년,23년,24년,25년3Q연환산,,,,,,,,,,
, 시가총액,1271,1255,1074,1271,1233,1018,899,973,1147,1587,1643,,,,,,,,,
, 주가,11650,11500,9840,11650,11300,9330,8240,8920,10510,14550,15060,,,,,,,,,
, SPS,26631,27534,28087,30978,28642,30308,42938,38001,46689,44298.81,,,,,,,,,,
, OPS,1580,1468,1653,1602,1221,-4210,799,2251,4031,3684.69,,,,,,,,,,
, EPS,1352,908,1829,1576,1117,-3193,874,1985,4241,3739.69,,,,,,,,,,
, BPS,11379,11407,12738,14115,14391,11631,12785,14278,18653,20201.65,,,,,,,,,,
, CPS,2181,1181,2186,2128,1349,-4258,829,4375,5322,3181,,,,,,,,,,
, DPS,500,500,500,600,400,0,300,500,850,850,,,,,,,,,,
, SPS증가율(%),7.53,3.39,2.01,10.29,-7.54,5.81,41.67,-11.5,22.86,-2.65,,,,,,,,,,
, OPS증가율(%),8.42,-7.08,12.57,-3.05,-23.78,-444.7,118.99,181.52,79.12,-6.24,,,,,,,,,,
, EPS증가율(%),3.97,-32.83,101.42,-13.8,-29.13,-385.78,127.37,127.13,113.61,12.95,,,,,,,,,,
, BPS증가율(%),10.91,0.25,11.66,10.81,1.95,-19.18,9.93,11.68,30.64,16.55,,,,,,,,,,
, CPS증가율(%),27,-45.83,85,-2.63,-36.63,-415.75,119.46,428.01,21.66,-26.99,,,,,,,,,,
, DPS증가율(%),61.29,0,0,20,-33.33,-100,0,66.67,70,0,,,,,,,,,,
, 주가상승률(%),12.56,-1.29,-14.43,18.39,-3,-17.43,-11.68,8.25,17.83,33.73,,,,,,,,,,
, 주식수증가율(%),0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
, 자본증가율(%),10.9,0.32,11.65,10.79,1.95,-19.17,9.93,11.68,30.62,16.55,,,,,,,,,,
, 자산증가율(%),70.96,-3.55,5.8,9.58,5.14,10.98,1.92,5.27,44.88,0.4,,,,,,,,,,
, 영업현금증가율(%),0,-45.8,84.5,-2.52,-36.64,-416.33,119.35,430,21.8,-26.74,,,,,,,,,,
, 설비투자증가율(%),0,-6.86,-12.63,24.1,-6.8,8.33,-43.27,111.86,-25.6,3.16,,,,,,,,,,
, FCF증가율(%),0,-75,358.82,-17.31,-60.47,-1213.73,105.46,1038.71,38.24,-34.21,,,,,,,,,,
, ROIC증가율(%),0,-22.47,55.71,-12.99,-29.08,-403.16,113.4,269.66,78.6,-22.71,,,,,,,,,,
, ROE증가율(%),0,-33,80.4,-22.21,-30.53,-453.74,124.92,103.22,63.53,-3.03,,,,,,,,,,
, ROA증가율(%),0,-30.35,90.32,-21.33,-32.59,-357.56,126.86,115.73,47.47,12.56,,,,,,,,,,
, OPM증가율(%),0.62,-10.04,10.3,-11.87,-17.8,-426.12,113.38,219.45,45.58,-3.75,,,,,,,,,,
, NPM증가율(%),-3.71,-34.87,98.06,-22.04,-23.28,-369.55,119.27,158.06,73.66,16.08,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,투자지표2,16년,17년,18년,19년,20년,21년,22년,23년,24년,25년3Q연환산,,,,,,,,,,
, PSR,0.44,0.42,0.35,0.38,0.39,0.31,0.19,0.23,0.23,0.33,,,,,,,,,,
, POR,7.37,7.83,5.95,7.27,9.25,-2.22,10.31,3.96,2.61,3.95,,,,,,,,,,
, PER,8.62,12.66,5.38,7.39,10.11,-2.92,9.43,4.49,2.48,3.89,,,,,,,,,,
, EV/EBITDA,0,0,0,0,0,0,0,0,0,4.06,,,,,,,,,,
, PBR,1.02,1.01,0.77,0.83,0.79,0.8,0.64,0.62,0.56,0.72,,,,,,,,,,
, PCR,5.34,9.73,4.5,5.47,8.38,-2.19,9.95,2.04,1.97,4.56,,,,,,,,,,
, PRR,856.24,229.86,281.69,230.86,152.13,137.56,70.2,43.54,82.39,105.8,,,,,,,,,,
, PEG,2.17,-0.39,0.05,-0.54,-0.35,0.01,0.07,0.04,0.02,0.3,,,,,,,,,,
, ROE,11.88,7.96,14.36,11.17,7.76,-27.45,6.84,13.9,22.73,18.51,,,,,,,,,,
, ROA,7.71,5.37,10.22,8.04,5.42,-13.96,3.75,8.09,11.93,11.72,,,,,,,,,,
, ROIC,16.19,12.55,19.54,17,12.06,-36.56,4.9,18.11,32.34,21.24,,,,,,,,,,
, 배당성향(%),36.99,55.06,27.34,38.06,35.8,0,34.32,25.18,20.04,22.73,,,,,,,,,,
