,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,25년4Q(E),매출액,영업이익,순익(지배),,,,,,,,,,,,
,영화테크,A265560,8300,887,,실적발표,287,60,,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,YOY,2.93,7.28,,,,,,,,,,,,,
,기타 자동차부품,1.20,32.57,,,QOQ,12.04,63.97,,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,성장점수,수익점수,안정점수,벨류점수,,,,,,,,,,,,
,6.18,1.05,17.00,16.54,,95,96,70,40,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,퀀트점수,99,퀀트상위(%),1,,,,,,,,,,,,
,18.11,2.00,10.27,9.25,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,280.48,5.02,4.54,0.84,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,16년,17년,18년,19년,20년,21년,22년,23년,24년,25년3Q연환산,25년4Q연환산,,분기 손익 요약,24.3Q,24.4Q,25.1Q,25.2Q,25.3Q,25.4Q,
, 매출액,614,592,535,446,350,406,479,649,948,1078,1086,, 매출액,222,279,268,275,256,287,
, 영업이익,65,69,31,-15,1,23,19,50,154,175,180,, 영업이익,32,55,36,48,36,60,
, 지배순익,56,58,39,-15,4,26,48,61,140,144,103,, 지배순익,26,41,29,11,63,0,
, OPM(%),10.59,11.66,5.79,-3.36,0.29,5.67,3.97,7.7,16.24,16.23,16.57,, OPM(%),14.41,19.71,13.43,17.45,14.06,20.91,
, NPM(%),9.12,9.8,7.29,-3.36,1.14,6.4,10.02,9.4,14.77,13.36,9.48,, NPM(%),11.71,14.7,10.82,4,24.61,0,
, 매출액 증가율(%),0,-3.58,-9.63,-16.64,-21.52,16,17.98,35.49,46.07,30.67,14.56,, 매출액 증가율(%),42.31,80,44.09,4.96,15.32,2.87,
, 영업이익 증가율(%),0,6.15,-55.07,-148.39,106.67,2200,-17.39,163.16,208,66.67,16.88,, 영업이익 증가율(%),113.33,685.71,38.46,17.07,12.5,9.09,
, 지배순익 증가율(%),0,3.57,-32.76,-138.46,126.67,550,84.62,27.08,129.51,27.43,-26.43,, 지배순익 증가율(%),62.5,192.86,0,-74.42,142.31,-100,
, (개별)매출액,0,508,446,398,327,379,473,630,920,1097,,, (개별)매출액,214,264,260,264,309,0,
, (개별)영업이익,0,57,30,-10,7,22,25,51,154,193,,, (개별)영업이익,31,54,42,45,52,0,
, (개별)순이익,0,54,39,-12,11,24,61,51,151,158,,, (개별)순이익,21,47,37,20,54,0,
, (개별)OPM(%),0,11.22,6.73,-2.51,2.14,5.8,5.29,8.1,16.74,17.59,,, (개별)OPM(%),14.49,20.45,16.15,17.05,16.83,0,
, 개별/연결순익(%),0,93.1,100,80,275,92.31,127.08,83.61,107.86,109.72,,, 개별/연결순익(%),80.77,114.63,127.59,181.82,85.71,0,
, 주가상승율(%),0,0,-36.24,-15.24,133.89,62.22,-50.96,16.2,-36.73,-9.25,26.14,, 분기 EPS,243.22,383.54,271.28,102.9,589.34,0,
,* 연간기준=달력기준. 주가= 수정주가. 주식수=수정주식수.(유증 무증등 모두 반영).  시가총액계산시 보통주로 계산. 데이터값 빈칸은 직전값으로 보정. 당해(내년) 추정치 자기자본= 전년(당해) 자기자본+ 배당성향을 감안한 당해(내년) 지배순이익.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,투자지표1,16년,17년,18년,19년,20년,21년,22년,23년,24년,25년3Q연환산,25년4Q연환산,,,,,,,,,
, 시가총액,0,951,607,514,1203,1951,957,1112,703,850,887,,,,,,,,,
, 주가,0,8900,5675,4810,11250,18250,8950,10400,6580,7950,8300,,,,,,,,,
, SPS,0,5435,5003,4169,3278,3800,4485,6073,8871,10084.19,10159.03,,,,,,,,,
, OPS,0,688,294,-141,7,217,178,469,1439,1637.04,1683.82,,,,,,,,,
, EPS,0,578,365,-139,40,239,451,570,1312,1347.05,963.52,,,,,,,,,
, BPS,0,4377,4445,4233,4679,4925,5326,5860,6956,7895.23,,,,,,,,,,
, CPS,0,685,661,161,148,291,486,476,1634,2132,,,,,,,,,,
, DPS,33,50,50,25,25,50,50,80,100,100,,,,,,,,,,
