,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,25년4Q(E),매출액,영업이익,순익(지배),,,,,,,,,,,,
,오파스넷,A173130,7380,963,,실적발표,879,45,,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,YOY,15.20,-28.62,,,,,,,,,,,,,
,시스템서비스,1.36,116.98,,,QOQ,105.36,34.88,,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,성장점수,수익점수,안정점수,벨류점수,,,,,,,,,,,,
,6.66,1.59,23.84,6.02,,99,89,40,43,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,퀀트점수,92,퀀트상위(%),8,,,,,,,,,,,,
,11.86,2.42,20.79,5.52,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,59.24,4.02,3.86,0.72,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,16년,17년,18년,19년,20년,21년,22년,23년,24년,25년3Q연환산,25년4Q연환산,,분기 손익 요약,24.3Q,24.4Q,25.1Q,25.2Q,25.3Q,25.4Q,
, 매출액,716,714,791,1041,1120,1218,1706,2250,1929,2217,2333,, 매출액,444,763,444,582,428,879,
, 영업이익,42,35,31,31,61,58,85,140,107,160,141,, 영업이익,25,64,6,56,34,45,
, 지배순익,21,31,23,-119,60,62,61,105,95,145,81,, 지배순익,17,64,5,46,30,0,
, OPM(%),5.87,4.9,3.92,2.98,5.45,4.76,4.98,6.22,5.55,7.22,6.04,, OPM(%),5.63,8.39,1.35,9.62,7.94,5.12,
, NPM(%),2.93,4.34,2.91,-11.43,5.36,5.09,3.58,4.67,4.92,6.54,3.47,, NPM(%),3.83,8.39,1.13,7.9,7.01,0,
, 매출액 증가율(%),0,-0.28,10.78,31.61,7.59,8.75,40.07,31.89,-14.27,11.18,20.94,, 매출액 증가율(%),-15.27,-7.96,34.14,49.23,-3.6,15.2,
, 영업이익 증가율(%),0,-16.67,-11.43,0,96.77,-4.92,46.55,64.71,-23.57,95.12,31.78,, 영업이익 증가율(%),-24.24,64.1,500,229.41,36,-29.69,
, 지배순익 증가율(%),0,47.62,-25.81,-617.39,150.42,3.33,-1.61,72.13,-9.52,126.56,-14.74,, 지배순익 증가율(%),-22.73,100,400,228.57,76.47,-100,
, (개별)매출액,0,384,791,1041,1120,1217,1702,2245,1902,2161,,, (개별)매출액,437,750,431,563,417,0,
, (개별)영업이익,0,17,31,31,61,58,85,140,103,148,,, (개별)영업이익,24,62,5,48,33,0,
, (개별)순이익,0,18,23,-119,60,63,61,104,93,134,,, (개별)순이익,17,62,4,39,29,0,
, (개별)OPM(%),0,4.43,3.92,2.98,5.45,4.77,4.99,6.24,5.42,6.85,,, (개별)OPM(%),5.49,8.27,1.16,8.53,7.91,0,
, 개별/연결순익(%),0,58.06,100,100,100,101.61,100,99.05,97.89,92.41,,, 개별/연결순익(%),100,96.88,80,84.78,96.67,0,
, 주가상승율(%),0,-1.57,212.31,-49.17,175.08,-34.03,114.65,51.5,-27.99,-11.41,-12.56,, 분기 EPS,130.27,490.42,38.31,352.49,229.89,0,
,* 연간기준=달력기준. 주가= 수정주가. 주식수=수정주식수.(유증 무증등 모두 반영).  시가총액계산시 보통주로 계산. 데이터값 빈칸은 직전값으로 보정. 당해(내년) 추정치 자기자본= 전년(당해) 자기자본+ 배당성향을 감안한 당해(내년) 지배순이익.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,투자지표1,16년,17년,18년,19년,20년,21년,22년,23년,24년,25년3Q연환산,25년4Q연환산,,,,,,,,,
, 시가총액,115,120,509,259,242,470,1009,1390,1101,821,963,,,,,,,,,
, 주가,1271,1251,3907,1986,5463,3604,7736,11720,8440,6290,7380,,,,,,,,,
, SPS,0,3998,6067,7990,25282,9326,13075,18969,14784,16988.51,17877.39,,,,,,,,,
, OPS,0,176,236,235,1382,445,653,1176,816,1226.05,1080.46,,,,,,,,,
, EPS,0,184,176,-911,1359,481,465,881,732,1111.11,620.69,,,,,,,,,
, BPS,1458,1732,2319,1357,5102,2227,2708,3878,4128,4643.68,,,,,,,,,,
, CPS,0,532,153,-66,246,677,-2701,2348,870,2420,,,,,,,,,,
, DPS,0,0,0,0,0,45,45,136,100,100,,,,,,,,,,
, SPS증가율(%),0,0,51.74,31.7,216.41,-63.11,40.19,45.08,-22.06,11.14,20.92,,,,,,,,,
, OPS증가율(%),0,0,33.98,-0.42,488.93,-67.8,46.86,80.04,-30.59,94.3,32.41,,,,,,,,,
, EPS증가율(%),0,0,-4.36,-618.93,249.1,-64.62,-3.25,89.5,-17,126.76,-15.21,,,,,,,,,
, BPS증가율(%),0,18.83,33.9,-41.52,276.11,-56.36,21.62,43.22,6.45,26.29,,,,,,,,,,
, CPS증가율(%),0,0,-71.21,-143.01,473.21,175.38,-498.8,186.9,-62.92,285.35,,,,,,,,,,
, DPS증가율(%),0,0,0,0,0,0,0,202.22,-26.47,0,,,,,,,,,,
, 주가상승률(%),0,-1.57,212.31,-49.17,175.08,-34.03,114.65,51.5,-27.99,-11.41,-12.56,,,,,,,,,
, 주식수증가율(%),0,6.42,35.59,0,-66,194.58,0,-9.12,10.03,0,0,,,,,,,,,
, 자본증가율(%),23.36,25.76,81.93,-41.39,27.68,28.76,21.31,30.31,17.17,26.25,,,,,,,,,,
, 자산증가율(%),174.77,15.65,51.47,27.77,-22.64,51.28,54.94,5.62,9.6,17.24,,,,,,,,,,
, 영업현금증가율(%),0,0,-60.78,-145,222.22,700,-500,178.98,-58.99,285.37,,,,,,,,,,
, 설비투자증가율(%),0,0,0,133.33,-85.71,0,0,500,-83.33,100,,,,,,,,,,
, FCF증가율(%),0,0,-66.67,-194.12,162.5,780,-502.27,177.12,-58.97,287.65,,,,,,,,,,
, ROIC증가율(%),0,0,-33.6,-751.85,137.5,5.98,-77.21,178.15,-45.64,91.79,,,,,,,,,,
, ROE증가율(%),0,0,-28.58,-987.45,139.64,-18.93,-20.43,32.31,-22.04,79.46,,,,,,,,,,
, ROA증가율(%),0,0,-14.45,-506.76,165.45,-30.96,-37.62,63.06,-16.75,93.25,,,,,,,,,,
, OPM증가율(%),41.96,-16.43,-20.05,-24.02,82.89,-12.57,4.63,24.88,-10.85,75.5,8.96,,,,,,,,,
, NPM증가율(%),52.09,48.03,-33.03,-493.14,146.86,-4.98,-29.76,30.51,5.53,103.77,-29.5,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,투자지표2,16년,17년,18년,19년,20년,21년,22년,23년,24년,25년3Q연환산,25년4Q연환산,,,,,,,,,
, PSR,0,0.31,0.64,0.25,0.22,0.39,0.59,0.62,0.57,0.37,0.41,,,,,,,,,
, POR,0,7.11,16.59,8.47,3.95,8.1,11.84,9.96,10.34,5.13,6.83,,,,,,,,,
, PER,0,6.81,22.25,-2.18,4.02,7.5,16.63,13.3,11.54,5.66,11.89,,,,,,,,,
, EV/EBITDA,0,0,0,0,0,0,12.39,0,0,6.74,,,,,,,,,,
, PBR,0.87,0.72,1.68,1.46,1.07,1.62,2.86,3.02,2.04,1.35,,,,,,,,,,
, PCR,0,2.35,25.49,-30.13,22.21,5.32,-2.86,4.99,9.7,2.6,,,,,,,,,,
, PRR,0,0,0,65.9,135.03,245.94,374.4,614.01,408.99,205.25,,,,,,,,,,
, PEG,0,0,-5.1,0,0.02,-0.12,-5.12,0.15,-0.68,0.04,-0.78,,,,,,,,,
, ROE,0,10.6,7.57,-67.18,26.63,21.59,17.18,22.73,17.72,23.93,,,,,,,,,,
, ROA,0,5.19,4.44,-18.06,11.82,8.16,5.09,8.3,6.91,10.88,,,,,,,,,,
, ROIC,0,39.13,25.98,-169.38,63.52,67.32,15.34,42.67,23.19,26.11,,,,,,,,,,
, 배당성향(%),0,0,0,0,0,9.36,9.67,15.43,13.67,9,16.11,,,,,,,,,
, 연간 배당률(%),0,0,0,0,0,1.25,0.58,1.16,1.18,1.59,1.36,,,,,,,,,
, 차입률(%),43.83,15.79,0.67,57.16,4.79,21.95,95.3,43.08,33.06,35.97,,,,,,,,,,
, 부채비율(%),123.15,104.38,70.54,271.89,125.38,164.77,237.66,169.72,152.52,118.65,,,,,,,,,,
, 당좌비율(%),183.05,179.15,227.98,107.08,161.13,122.99,70.12,104.05,124.19,131.83,,,,,,,,,,
, 유동비율(%),201.29,205.29,253.61,135.12,199.69,166.29,135.42,145.31,165.55,199.1,,,,,,,,,,
, 영업이익/차입금(%),0,64.27,1514.68,30.25,565.48,91.04,25.32,69.32,58.93,73.39,,,,,,,,,,
, 매출채권회전일수,0,128.65,82.84,53.29,49.2,48.41,56.06,52.4,71.22,37.87,,,,,,,,,,
, 재고자산회전일수,0,37.23,21.93,40.43,25.06,50.66,103.42,45.53,52.82,61.57,,,,,,,,,,
, 매입채무회전일수,36.19,53.68,61.83,79.24,52.14,76.12,63.97,59.21,61.31,23.38,,,,,,,,,,
, 현금회전일수,-36.19,112.2,42.94,14.48,22.12,22.95,95.51,38.72,62.73,76.06,,,,,,,,,,
, 주식수 (만주),903,961,1303,1303,443,1305,1305,1186,1305,1305,1305,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익계산서,16년,17년,18년,19년,20년,21년,22년,23년,24년,25년3Q연환산,25년4Q연환산,,분기 손익계산서,24.3Q,24.4Q,25.1Q,25.2Q,25.3Q,25.4Q,
