,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,25년4Q(E),매출액,영업이익,순익(지배),,,,,,,,,,,,
,플리토,A300080,12220,2017,,실적발표,102,7,,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,YOY,82.98,204.57,,,,,,,,,,,,,
,인터넷서비스,0.00,65.52,,,QOQ,-13.32,-74.53,,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,성장점수,수익점수,안정점수,벨류점수,,,,,,,,,,,,
,33.49,12.09,36.10,17.10,,96,98,26,3,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,퀀트점수,60,퀀트상위(%),40,,,,,,,,,,,,
,-43.52,11.91,-34.38,-29.99,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,125.12,15.26,34.71,1.72,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,16년,17년,18년,19년,20년,21년,22년,23년,24년,25년3Q연환산,25년4Q연환산,,분기 손익 요약,24.3Q,24.4Q,25.1Q,25.2Q,25.3Q,25.4Q,
, 매출액,15,22,35,25,74,93,136,178,203,314,360,, 매출액,69,56,46,94,118,102,
, 영업이익,-32,-26,-17,-57,-34,-61,-66,-51,-4,56,61,, 영업이익,12,2,2,24,28,7,
, 지배순익,-31,-48,-38,-60,-30,-58,-59,-68,8,60,55,, 지배순익,12,5,2,23,30,0,
, OPM(%),-213.33,-118.18,-48.57,-228,-45.95,-65.59,-48.53,-28.65,-1.97,17.83,16.94,, OPM(%),17.39,3.57,4.35,25.53,23.73,6.86,
, NPM(%),-206.67,-218.18,-108.57,-240,-40.54,-62.37,-43.38,-38.2,3.94,19.11,15.28,, NPM(%),17.39,8.93,4.35,24.47,25.42,0,
, 매출액 증가율(%),0,46.67,59.09,-28.57,196,25.68,46.24,30.88,14.04,58.59,77.34,, 매출액 증가율(%),18.97,12,9.52,154.05,71.01,82.14,
, 영업이익 증가율(%),0,18.75,34.62,-235.29,40.35,-79.41,-8.2,22.73,92.16,473.33,1625,, 영업이익 증가율(%),271.43,122.22,150,271.43,133.33,250,
, 지배순익 증가율(%),0,-54.84,20.83,-57.89,50,-93.33,-1.72,-15.25,111.76,372.73,587.5,, 지배순익 증가율(%),233.33,120,0,309.09,150,-100,
, (개별)매출액,0,0,22,24,72,90,125,151,186,277,,, (개별)매출액,66,51,36,86,104,0,
