,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,25년4Q(E),매출액,영업이익,순익(지배),,,,,,,,,,,,
,하이브,A352820,344000,148153,,실적발표,7164,40,-2652,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,YOY,-1.38,-93.84,-820.46,,,,,,,,,,,,
,미디어,0.06,54.46,34.91,,QOQ,-1.48,109.42,-427.65,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,성장점수,수익점수,안정점수,벨류점수,,,,,,,,,,,,
,-62.44,4.55,-7.29,1.86,,37,30,92,11,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,퀀트점수,32,퀀트상위(%),68,,,,,,,,,,,,
,122.17,3.48,3.10,11.90,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,858.82,20.57,7.14,1.69,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,16년,17년,18년,19년,20년,21년,22년,23년,24년,25년3Q연환산,25년4Q연환산,,분기 손익 요약,24.3Q,24.4Q,25.1Q,25.2Q,25.3Q,25.4Q,
, 매출액,352,924,3014,5872,7963,12559,17762,21781,22556,26598,26498,, 매출액,5278,7264,5006,7056,7272,7164,
, 영업이익,104,325,799,987,1455,1902,2369,2956,1840,1099,493,, 영업이익,542,646,216,659,-422,40,
, 지배순익,90,246,-705,738,857,1368,523,1873,94,-8,-2372,, 지배순익,64,-288,602,181,-503,-2652,
, OPM(%),29.55,35.17,26.51,16.81,18.27,15.14,13.34,13.57,8.16,4.13,1.86,, OPM(%),10.27,8.89,4.31,9.34,-5.8,0.56,
, NPM(%),25.57,26.62,-23.39,12.57,10.76,10.89,2.94,8.6,0.42,-0.03,-8.95,, NPM(%),1.21,-3.96,12.03,2.57,-6.92,-37.02,
, 매출액 증가율(%),0,162.5,226.19,94.82,35.61,57.72,41.43,22.63,3.56,24.42,17.48,, 매출액 증가율(%),-1.88,19.36,38.71,10.16,37.78,-1.38,
, 영업이익 증가율(%),0,212.5,145.85,23.53,47.42,30.72,24.55,24.78,-37.75,-47.32,-73.21,, 영업이익 증가율(%),-25.45,-27.5,50,29.47,-177.86,-93.81,
, 지배순익 증가율(%),0,173.33,-386.59,204.68,16.12,59.63,-61.77,258.13,-94.98,95.77,-2623.4,, 지배순익 증가율(%),-93.77,49.56,250,23.97,-885.94,-820.83,
